galaxy,ra_deg,dec_deg,sparc_metric,coord_source,catalog_name
NGC5907,228.9737,56.32885,31668.703622222223,VizieR:J/AJ/152/157/table1,NGC5907
NGC5985,234.90454,59.33195,62496.63531232685,VizieR:J/AJ/152/157/table1,NGC5985
NGC6015,237.85513,62.31003,19827.035520238784,VizieR:J/AJ/152/157/table1,NGC6015
NGC6195,249.13555,39.028,25841.609599942487,VizieR:J/AJ/152/157/table1,NGC6195
NGC6503,267.36047,70.14434,10996.095222307058,VizieR:J/AJ/152/157/table1,NGC6503
NGC6674,279.6412,25.37511,47180.97593990751,VizieR:J/AJ/152/157/table1,NGC6674
NGC6789,289.17154,63.97331,1459.9216660461168,VizieR:J/AJ/152/157/table1,NGC6789
NGC6946,308.71805,60.15368,14923.558872410307,VizieR:J/AJ/152/157/table1,NGC6946
NGC7331,339.26709,34.41592,32851.16533857143,VizieR:J/AJ/152/157/table1,NGC7331
NGC7793,359.45761,-32.59103,6731.484496849498,VizieR:J/AJ/152/157/table1,NGC7793
NGC7814,0.81228,16.14523,31511.63945,VizieR:J/AJ/152/157/table1,NGC7814
PGC51017,214.25733,43.50372,25.631383647139696,VizieR:J/AJ/152/157/table1,PGC51017
UGC00128,3.46221,35.9935,14546.2071,VizieR:J/AJ/152/157/table1,UGC00128
UGC00191,5.0215,10.87931,4470.970608036892,VizieR:J/AJ/152/157/table1,UGC00191
UGC00634,15.35488,7.62599,8261.038672587918,VizieR:J/AJ/152/157/table1,UGC00634
UGC00731,17.68333,49.60219,4116.458860000001,VizieR:J/AJ/152/157/table1,UGC00731
UGC00891,20.32954,12.41172,2083.720466954676,VizieR:J/AJ/152/157/table1,UGC00891
UGC01230,26.38438,25.52147,8787.462385026949,VizieR:J/AJ/152/157/table1,UGC01230
UGC01281,27.38212,32.58783,2522.20608399855,VizieR:J/AJ/152/157/table1,UGC01281
UGC02023,38.3255,33.49042,838.9451337112615,VizieR:J/AJ/152/157/table1,UGC02023
UGC02259,41.98082,37.53844,6145.554003193403,VizieR:J/AJ/152/157/table1,UGC02259
UGC02455,44.92849,25.24119,-998.4642934851988,VizieR:J/AJ/152/157/table1,UGC02455
UGC02487,45.42649,35.20565,88679.73904957727,VizieR:J/AJ/152/157/table1,UGC02487
UGC02885,58.26017,35.58947,64382.675080401954,VizieR:J/AJ/152/157/table1,UGC02885
UGC02916,60.64098,71.70592,18873.29421101302,VizieR:J/AJ/152/157/table1,UGC02916
