object_type,log_Mbar,M_bar_Msun,closure,log_closure
galaxy,10.66812488878764,46572000000.0,1.0314998197234422,0.013469156406968606
galaxy,10.618988920364934,41590000000.0,0.4164267503136702,-0.3804613801690261
galaxy,8.292256071356476,196000000.0,1.314758116563746,0.11884586057921341
galaxy,10.172267157184907,14868500000.0,0.6128483835378893,-0.2126469550692573
galaxy,10.576922708171907,37750499999.99999,0.4278286406919175,-0.3687301452481159
galaxy,10.544830492128218,35061500000.0,0.95803899196054,-0.01861681487897994
galaxy,10.10961229030846,12871000000.0,0.9916436118053782,-0.0036443815109897535
galaxy,10.350335256231032,22404500000.0,0.8823879672080058,-0.054340422837579956
galaxy,10.866183923324234,73482499999.99998,0.7128817981757929,-0.14698247387268903
galaxy,9.923787841731059,8390499999.999999,0.9162395468272436,-0.037990967091490024
galaxy,11.114160445279067,130065000000.0,0.9473950490291844,-0.02346888917205155
galaxy,10.057989232628692,11428500000.0,0.6930148262121564,-0.1592574740848024
galaxy,10.628531968204065,42513999999.99999,0.7589446668375865,-0.1197898865065005
galaxy,10.70183555925006,50331000000.0,0.2784752357193626,-0.5552134197671841
galaxy,8.4345689040342,272000000.0,0.5532914244036542,-0.257046060967908
galaxy,10.086751231242056,12211000000.0,0.529336400680178,-0.2762682400140717
galaxy,10.791473096495325,61869000000.0,0.2797342757101237,-0.5532543164680842
galaxy,10.51586060282441,32799000000.0,0.9537163863332707,-0.02058075544569309
galaxy,10.37177878380567,23538500000.0,0.9637405169480037,-0.016039882307955142
galaxy,10.785586064349683,61036000000.0,0.5597834896697178,-0.2519799148214043
galaxy,9.950608224784231,8924999999.999998,0.7159255923968482,-0.1451321124556561
galaxy,9.023869501388333,1056500000.0,1.8773522011142922,0.2735457561863995
galaxy,10.655248916034873,45211500000.0,0.510402617794521,-0.29208710683626765
galaxy,10.049334335972285,11203000000.0,3.2187750588578046e-11,-10.492309372525396
galaxy,10.19031768844491,15499500000.0,0.5339663075058834,-0.2724861454544216
galaxy,10.95731989685534,90640000000.0,1.035904204595051,0.01531959581525385
galaxy,10.823268771026143,66568500000.0,0.9389178440206609,-0.027372407147568105
galaxy,10.945384869510526,88183000000.0,0.5315707542349281,-0.2744389209267857
galaxy,11.258581017115146,181376500000.0,0.314966885897482,-0.5017351034420158
galaxy,9.498930531742003,3154500000.0,0.8116836502649463,-0.09061320193387708
galaxy,11.036379343851587,108737500000.00002,0.7307889436389831,-0.13620803186260713
galaxy,11.064270752974005,115950000000.0,1.4527092674224398,0.16217870707989004
galaxy,10.340414367623977,21898500000.0,0.9026770994815054,-0.04446757525929012
galaxy,11.335347557820738,216445000000.00003,0.4035754839018628,-0.3940752238264215
galaxy,9.912035966401737,8166500000.000001,0.9159514680331684,-0.03812753694762016
galaxy,11.144549301118705,139492000000.0,0.9507614753597541,-0.021928424101661806
galaxy,7.826074802700827,67000000.00000001,3.53108530349456,0.5479082093188277
galaxy,10.588344550130028,38756500000.0,0.5842696965294059,-0.23338663802885165
galaxy,11.134758647145816,136382500000.0,0.5834589346579137,-0.23398970530681695
galaxy,9.642068627341503,4386000000.0,0.912502464065507,-0.03976595412780784
galaxy,10.58358980309096,38334500000.0,1.290365441545006,0.11071272329962492
galaxy,8.444825199509747,278500000.0,0.01828656548008742,-1.7378678545624127
