galaxy,n,n_outer,outer_rule,rmax_kpc,rmin_outer_kpc,slope_outer_pos,n_slope_pos,slope_outer_abs,n_slope_abs,dv2_outer_log_slope,n_dv2_log_slope,frac_rho_pos_outer
UGC00634,4,0,,18.01,nan,nan,0,nan,0,nan,0,nan
UGC00731,12,5,rfrac,10.91,7.28,-2.294347894438982,5,-2.294347894438982,5,-0.01974113499844915,5,1.0
UGC00891,5,5,lastfrac,7.39,1.48,-1.43333183056357,5,-1.43333183056357,5,1.4764485925052289,5,1.0
UGC01230,11,5,lastfrac,36.54,13.27,-2.4406078559234317,5,-2.4406078559234317,5,-0.18721302992521602,5,1.0
UGC01281,25,6,rfrac,4.99,3.07,-2.683688229277971,6,-2.683688229277971,6,0.28134210370482604,6,1.0
UGC02023,5,5,lastfrac,3.78,0.76,-0.11320140261082451,5,-0.11320140261082451,5,2.197273836890766,5,1.0
UGC02259,8,5,lastfrac,8.14,4.07,-1.272594887445669,5,-1.272594887445669,5,0.2953534665545969,5,1.0
UGC02455,8,5,lastfrac,4.03,2.01,7.7883370914786445,4,3.3271725018058107,5,nan,1,0.8
UGC02487,17,7,rfrac,80.38,50.24,-0.3728877664914132,7,-0.3728877664914132,7,0.17517942053595167,7,1.0
UGC02885,19,8,rfrac,74.07,46.73,-2.6382650066923103,8,-2.6382650066923103,8,0.343831501039826,8,1.0
UGC02916,43,5,rfrac,38.0,25.34,3.6600004248185085,4,3.37398390991805,5,-0.6552746094036378,5,0.8
UGC02953,115,18,rfrac,62.39,38.35,-0.1803527995145609,18,-0.1803527995145609,18,0.29992891659059534,18,1.0
UGC03205,48,6,rfrac,40.04,24.23,-0.6648265630182182,6,-0.6648265630182182,6,0.5549788675051752,6,1.0
UGC03546,30,6,rfrac,29.23,18.08,-1.070541737741413,6,-1.070541737741413,6,0.5115445597555285,6,1.0
UGC03580,47,6,rfrac,27.06,16.6,-4.217796434750353,6,-4.217796434750353,6,0.27249802339131396,6,1.0
UGC04278,25,10,rfrac,6.69,4.29,-2.2863167160888906,10,-2.2863167160888906,10,1.0233839947878514,10,1.0
UGC04305,22,9,rfrac,5.52,3.51,-7.778056431169483,3,-3.055576860861903,9,2.5825786181305594,5,0.3333333333333333
UGC04325,8,5,lastfrac,5.59,2.79,-2.2540879396925297,5,-2.2540879396925297,5,0.054076280955129764,5,1.0
UGC04483,8,5,lastfrac,1.21,0.57,-1.9135293241068005,5,-1.9135293241068005,5,0.542731408073018,5,1.0
UGC04499,9,5,lastfrac,8.18,4.55,-2.4553108293409642,5,-2.4553108293409642,5,0.37354158284189287,5,1.0
UGC05005,11,5,lastfrac,28.61,10.17,-2.2172539328979997,5,-2.2172539328979997,5,0.5653929636936746,5,1.0
UGC05253,73,7,rfrac,53.29,33.32,3.585201178499879,6,4.717412514487498,7,-0.01875897760208125,7,0.8571428571428571
UGC05414,6,5,lastfrac,4.11,1.37,-1.1009278156810123,5,-1.1009278156810123,5,1.245861779153116,5,1.0
UGC05716,12,5,rfrac,12.37,8.26,-0.11621539813896925,5,-0.11621539813896925,5,0.08712399029220763,5,1.0
UGC05721,23,6,rfrac,6.74,4.49,-1.0878060613112281,6,-1.0878060613112281,6,0.07755533331499515,6,1.0
UGC05750,11,5,lastfrac,22.85,6.6,-2.3446029481136224,5,-2.3446029481136224,5,0.31379722604340343,5,1.0
UGC05764,10,5,lastfrac,3.62,2.17,-4.676801883353701,4,-4.899130947052305,5,-0.5194303540542481,5,0.8
UGC05829,11,5,rfrac,6.91,4.4,-0.7360939009694585,5,-0.7360939009694585,5,1.0414342021093994,5,1.0
UGC05918,8,5,lastfrac,4.46,2.23,-1.5979505320587961,5,-1.5979505320587961,5,0.4888258054865558,5,1.0
UGC05986,15,7,rfrac,9.41,5.65,-5.547981150844826,7,-5.547981150844826,7,-0.19496111165147922,7,1.0
UGC05999,5,5,lastfrac,16.22,3.48,-2.3209863533915436,5,-2.3209863533915436,5,1.1637312463837857,5,1.0
UGC06399,9,5,lastfrac,7.85,4.37,-1.953574128498038,5,-1.953574128498038,5,0.4083786155817543,5,1.0
UGC06446,17,7,rfrac,10.22,6.4,-5.812265878844125,6,-5.342682282993549,7,0.0024051559703454728,7,0.8571428571428571
UGC06614,13,6,lastfrac,64.59,24.94,-2.266430266989986,6,-2.266430266989986,6,0.4009504228018646,6,1.0
UGC06628,7,5,lastfrac,7.69,3.3,nan,1,1.840428492944292,5,-1.3551965362596237,3,0.2
UGC06667,9,5,lastfrac,7.85,4.37,-2.2810054135006066,5,-2.2810054135006066,5,0.2897693119771982,5,1.0
UGC06786,45,7,rfrac,34.05,21.27,-2.925645253984004,6,-4.307405017183467,7,-0.15142972924912224,7,0.8571428571428571
UGC06787,71,11,rfrac,37.19,22.77,-1.7217642317977273,11,-1.7217642317977273,11,0.29638944719262283,11,1.0
UGC06818,8,5,lastfrac,6.98,3.5,-1.7840445858108067,5,-1.7840445858108067,5,1.61741124400897,5,1.0
UGC06917,11,5,rfrac,10.47,6.98,-1.822831239975669,5,-1.822831239975669,5,0.5398221402876712,5,1.0
UGC06923,6,5,lastfrac,5.16,1.94,-1.9677250827221031,5,-1.9677250827221031,5,1.3282193507436062,5,1.0
UGC06930,10,5,rfrac,16.61,10.47,-1.425037770764687,5,-1.425037770764687,5,0.16998630844395216,5,1.0
UGC06973,9,5,rfrac,7.85,5.32,-1.1754496022958862,5,-1.1754496022958862,5,3.7074066183428362,5,1.0
UGC06983,17,8,rfrac,15.68,9.6,-0.8430514870537691,8,-0.8430514870537691,8,-0.14171248689131216,8,1.0
UGC07089,12,6,rfrac,9.16,6.11,-0.025239948328460025,6,-0.025239948328460025,6,0.9506207793778263,6,1.0
UGC07125,13,6,rfrac,18.68,11.47,0.954889619971206,6,0.954889619971206,6,-0.030649045088121885,6,1.0
UGC07151,11,5,rfrac,5.5,3.49,-1.3955784409881589,5,-1.3955784409881589,5,0.3750843643805511,5,1.0
UGC07232,4,0,,0.82,nan,nan,0,nan,0,nan,0,nan
UGC07261,7,5,lastfrac,6.67,2.86,-1.958306674697586,5,-1.958306674697586,5,0.4087378657557558,5,1.0
UGC07323,10,5,rfrac,5.82,3.5,-1.857058633231654,5,-1.857058633231654,5,0.9405465584023623,5,1.0
UGC07399,10,5,rfrac,6.13,3.68,-1.2269026441859066,5,-1.2269026441859066,5,0.4637447107888132,5,1.0
UGC07524,31,13,rfrac,10.69,6.55,-1.0968927334062069,11,-0.6117216465235071,13,0.1470620941014106,13,0.8461538461538461
UGC07559,7,5,lastfrac,2.53,1.08,-2.290654481677645,5,-2.290654481677645,5,1.0851316528489867,5,1.0
UGC07577,9,5,lastfrac,1.69,0.94,1.7358815410278043,5,1.7358815410278043,5,4.231264610992737,5,1.0
UGC07603,12,5,rfrac,4.11,2.74,-1.4071923308231995,5,-1.4071923308231995,5,0.4083169139920265,5,1.0
UGC07608,8,5,lastfrac,4.78,2.38,-1.3596091280418807,5,-1.3596091280418807,5,0.881747186060921,5,1.0
UGC07690,7,5,lastfrac,4.13,1.77,-2.0384650199172114,5,-2.0384650199172114,5,-0.1320585527355166,5,1.0
UGC07866,7,5,lastfrac,2.32,1.0,-0.781035292028279,5,-0.781035292028279,5,0.7566910622877628,5,1.0
UGC08286,17,7,rfrac,8.04,5.2,-2.115860171601541,7,-2.115860171601541,7,0.19815487513283636,7,1.0
UGC08490,30,13,rfrac,10.15,6.09,-2.3488723679782937,13,-2.3488723679782937,13,-0.1320960624192375,13,1.0
UGC08550,11,5,rfrac,5.36,3.41,-3.2395923546911756,5,-3.2395923546911756,5,0.20695489418468416,5,1.0
UGC08699,41,5,rfrac,25.7,17.13,-2.09022367945962,5,-2.09022367945962,5,0.4971861595524509,5,1.0
UGC08837,8,5,lastfrac,4.2,2.09,-1.5876571684088148,5,-1.5876571684088148,5,2.162182869758865,5,1.0
UGC09037,22,10,rfrac,27.96,17.0,-1.8103657798621147,9,-1.6015623594916166,10,-0.1403229268761409,10,0.9
