galaxy,q_est_kms2,q_best_kms2,dq_est_minus_best_kms2,abs_dq_kms2,sparc_Vflat_kms,sparc_Rdisk_kpc,sparc_D_mpc,log10_Vflat,log10_Rdisk,log10_D,rho_slope_outer_abs,rho_slope_outer_pos,rho_closeness_abs,rho_closeness_pos,dv2_outer_log_slope
ESO116-G012,9630.030581297078,9946.898754245947,-316.86817294886896,316.86817294886896,109.1,1.51,13.0,2.037824750588342,0.17897694729316943,1.1139433523068367,-1.3752710543298774,-1.3752710543298774,0.6247289456701226,0.6247289456701226,0.20042466472035347
ESO444-G084,2888.30604,5614.171628489408,-2725.8655884894083,2725.8655884894083,0.0,0.46,4.83,nan,-0.3372421683184259,0.6839471307515121,-1.8716484777027715,-1.8716484777027715,0.12835152229722846,0.12835152229722846,0.5678179179515871
ESO563-G021,72282.96302499999,48446.31408132123,23836.64894367876,23836.64894367876,314.6,5.45,60.8,2.497758718287268,0.7363965022766424,1.783903579272735,-3.273211381728784,-3.273211381728784,1.273211381728784,1.273211381728784,0.5048253093855141
F561-1,810.74873,984.644045421609,-173.89531542160898,173.89531542160898,50.0,2.79,66.4,1.6989700043360187,0.44560420327359757,1.8221680793680175,-3.0104644624821826,-5.3535124562087795,1.0104644624821826,3.3535124562087795,-0.49668635017556656
F563-1,11095.803453861088,10690.873174052653,404.93027980843544,404.93027980843544,109.9,3.52,48.9,2.0409976924234905,0.5465426634781311,1.6893088591236203,-5.830687084118926,-0.6229804876289023,3.8306870841189262,1.3770195123710978,-0.30318459834279193
F563-V1,237.69647601601773,291.77198193865667,-54.07550592263894,54.07550592263894,0.0,3.79,54.0,nan,0.5786392099680724,1.7323937598229686,-2.140222332034839,nan,0.1402223320348388,nan,-0.9702375771871107
F563-V2,11566.717710873529,15154.424519776228,-3587.7068089027,3587.7068089027,116.6,2.43,59.7,2.0666985504229953,0.38560627359831223,1.7759743311293692,-2.1454932830884927,-2.1454932830884927,0.14549328308849274,0.14549328308849274,-0.011029884156257863
F565-V2,4754.259722715538,8654.423965188587,-3900.164242473049,3900.164242473049,0.0,2.17,51.8,nan,0.3364597338485295,1.714329759745233,-1.5885336592136532,-1.5885336592136532,0.4114663407863468,0.4114663407863468,0.8134669820197064
F567-2,1526.9550663196583,2057.52728503295,-530.5722187132919,530.5722187132919,0.0,3.08,79.0,nan,0.4885507165004443,1.8976270912904414,-2.3144147019115504,-2.3144147019115504,0.3144147019115504,0.3144147019115504,0.881306817011713
F568-1,14444.159070161977,14374.62947962484,69.52959053713676,69.52959053713676,0.0,5.18,90.7,nan,0.714329759745233,1.9576072870600953,-1.5026172047831146,-1.5026172047831146,0.49738279521688544,0.49738279521688544,0.37340314608841524
F568-3,8025.070132925791,11024.258653521169,-2999.1885205953777,2999.1885205953777,0.0,4.99,82.4,nan,0.69810054562339,1.9159272116971158,-0.9486048966716384,-0.9486048966716384,1.0513951033283617,1.0513951033283617,0.5198501468727773
F568-V1,11042.800545314753,12122.350551993222,-1079.5500066784698,1079.5500066784698,112.3,2.85,80.6,2.050379756261458,0.4548448600085102,1.9063350418050906,-1.283561595295481,-1.283561595295481,0.7164384047045189,0.7164384047045189,0.07824844318385199
F571-8,13894.4861,12491.708041346654,1402.7780586533463,1402.7780586533463,139.7,3.56,53.3,2.1451964061141817,0.5514499979728752,1.7267272090265722,-1.9292402016363837,-1.9292402016363837,0.07075979836361634,0.07075979836361634,0.7664822211217619
F571-V1,5223.531169756055,5662.629029281939,-439.0978595258848,439.0978595258848,83.6,2.47,80.1,1.9222062774390163,0.39269695325966575,1.9036325160842376,-2.0745048490415474,-2.0745048490415474,0.07450484904154742,0.07450484904154742,0.45533926543504866
F574-1,7789.550340937908,7687.68013046643,101.87021047147846,101.87021047147846,97.8,4.46,96.8,1.9903388547876015,0.6493348587121419,1.9858753573083936,-2.8363416122310277,-2.8363416122310277,0.8363416122310277,0.8363416122310277,0.09031151681020554
F574-2,94.10470288146826,130.32848962155754,-36.22378674008928,36.22378674008928,0.0,3.76,89.1,nan,0.5751878449276611,1.9498777040368747,-2.3598533584562653,-2.3598533584562653,0.3598533584562653,0.3598533584562653,0.5530401931113805
F579-V1,9586.837122147926,11145.905990184536,-1559.0688680366093,1559.0688680366093,112.1,3.37,89.5,2.049605612594973,0.5276299008713387,1.951823035315912,-2.079295147789374,-2.079295147789374,0.07929514778937419,0.07929514778937419,0.09315031380822292
F583-1,5120.07891016573,4900.525297280667,219.55361288506356,219.55361288506356,85.8,2.36,35.4,1.9334872878487055,0.37291200297010657,1.5490032620257879,-3.147552566982723,-3.147552566982723,1.1475525669827231,1.1475525669827231,0.25039487983928066
F583-4,3217.708388999229,3595.541437614467,-377.8330486152381,377.8330486152381,0.0,1.93,53.3,nan,0.28555730900777376,1.7267272090265722,-5.975099600793783,-5.975099600793783,3.975099600793783,3.975099600793783,0.8399921700118334
IC2574,2700.8669400000003,5138.163997073572,-2437.297057073572,2437.297057073572,66.4,2.78,3.91,1.8221680793680175,0.4440447959180762,0.5921767573958668,-1.8265507779499721,-1.6049418939313433,0.17344922205002788,0.39505810606865666,1.3431380264587842
IC4202,33084.718827796525,35412.494375989816,-2327.775548193291,2327.775548193291,242.6,4.78,100.4,2.3848907965305544,0.6794278966121189,2.0017337128090005,1.3670412549678335,1.3670412549678335,3.3670412549678335,3.3670412549678335,0.3369761965030055
KK98-251,712.07689,1147.7893386166124,-435.7124486166124,435.7124486166124,33.7,1.34,6.8,1.5276299008713388,0.12710479836480765,0.8325089127062363,-3.6615730149580963,-3.6615730149580963,1.6615730149580963,1.6615730149580963,0.5450440186553686
NGC0024,8663.767955801195,11141.019401593476,-2477.2514457922807,2477.2514457922807,106.3,1.34,7.3,2.0265332645232967,0.12710479836480765,0.8633228601204559,-1.901865368895207,-1.901865368895207,0.09813463110479304,0.09813463110479304,0.151712734038743
NGC0055,5025.480980703516,3844.268113054655,1181.2128676488614,1181.2128676488614,85.6,6.11,2.11,1.9324737646771533,0.7860412102425542,0.3242824552976926,-3.295273446823465,-3.295273446823465,1.2952734468234648,1.2952734468234648,0.2365840571222162
NGC0100,6203.306406128609,5706.957369011756,496.34903711685274,496.34903711685274,88.1,1.66,13.5,1.944975908412048,0.22010808804005508,1.130333768495006,-1.353039710876963,-1.353039710876963,0.646960289123037,0.646960289123037,0.8207657460992995
NGC0247,8120.308475803904,7020.2375698227515,1100.0709059811525,1100.0709059811525,104.9,3.74,3.7,2.020775488193558,0.5728716022004802,0.568201724066995,-2.3693723727357945,-2.3693723727357945,0.3693723727357945,0.3693723727357945,0.5985397943247169
NGC0289,22564.571970569374,20873.981352262872,1690.5906183065017,1690.5906183065017,163.0,6.74,20.8,2.2121876044039577,0.8286598965353198,1.3180633349627615,-0.8060435675579626,-0.14573297620455217,1.1939564324420373,1.854267023795448,-0.4034810111424852
NGC0300,7109.225394190399,7232.664468006304,-123.43907381590452,123.43907381590452,93.3,1.75,2.08,1.9698816437464999,0.24303804868629444,0.31806333496276157,-2.2452654435904753,-2.2452654435904753,0.2452654435904753,0.2452654435904753,0.5598743605414571
NGC0801,24974.846341666664,24665.133966609916,309.712375056748,309.712375056748,220.1,8.72,80.7,2.342620042553348,0.9405164849325672,1.9068735347220704,-1.4164113992509133,-1.4164113992509133,0.5835886007490867,0.5835886007490867,0.4440463834441918
NGC0891,20015.84796875,22964.56119692136,-2948.7132281713602,2948.7132281713602,216.1,2.55,9.91,2.3346547668832414,0.4065401804339551,0.9960736544852753,-2.339790021022782,-2.339790021022782,0.339790021022782,0.339790021022782,0.3365880067217609
NGC1003,10640.499566666667,8544.936065429816,2095.563501236851,2095.563501236851,109.8,1.61,11.4,2.040602340114073,0.20682587603184974,1.0569048513364727,0.23134812429011342,0.23134812429011342,2.2313481242901134,2.2313481242901134,0.31784412424598874
NGC1090,17271.13943995257,16506.260676481652,764.8787634709188,764.8787634709188,164.4,3.53,37.0,2.215901813204032,0.5477747053878226,1.568201724066995,-3.8263098670463043,-3.8263098670463043,1.8263098670463043,1.8263098670463043,0.14175713948338045
NGC1705,4686.109569806081,7393.062461676485,-2706.9528918704045,2706.9528918704045,71.9,0.39,5.73,1.8567288903828827,-0.4089353929735008,0.75815462196739,-2.382483699227088,-2.382483699227088,0.3824836992270879,0.3824836992270879,0.05890947564555833
NGC2366,1809.5041902171959,3039.292982291463,-1229.7887920742671,1229.7887920742671,50.2,0.65,3.27,1.7007037171450194,-0.18708664335714442,0.5145477526602861,-0.9935164717456761,-2.012087066988553,1.0064835282543239,0.012087066988553108,-0.5173243213031649
NGC2403,14758.252647058822,11666.238627323808,3092.014019735014,3092.014019735014,131.2,1.39,3.16,2.1179338350396413,0.14301480025409505,0.49968708261840383,-3.484034282977591,-3.484034282977591,1.484034282977591,1.484034282977591,0.2857377777224321
NGC2683,17892.270535196807,21393.528546774443,-3501.2580115776364,3501.2580115776364,154.0,2.18,9.81,2.187520720836463,0.33845649360460484,0.9916690073799486,-0.5114857632077658,4.673707027843807,1.4885142367922342,6.673707027843807,0.12321246763922962
NGC2841,65847.14310766662,64618.978002358075,1228.1651053085443,1228.1651053085443,284.8,3.64,14.1,2.4545399849648186,0.561101383649056,1.14921911265538,1.2566455444753937,1.2566455444753937,3.2566455444753935,3.2566455444753935,0.519614587676154
NGC2903,23396.266977272728,23786.408616480378,-390.14163920764986,390.14163920764986,184.6,2.33,6.6,2.266231696689893,0.367355921026019,0.8195439355418687,-2.864033527364403,-2.864033527364403,0.8640335273644029,0.8640335273644029,0.12039942002416591
NGC2915,6226.889989064411,6657.984613429919,-431.094624365508,431.094624365508,83.5,0.55,4.06,1.921686475483602,-0.2596373105057561,0.608526033577194,1.1878012749270643,0.5442012307729818,3.1878012749270646,2.5442012307729818,0.3385245247739766
NGC2955,29824.401953798104,33562.53320662114,-3738.1312528230374,3738.1312528230374,0.0,18.76,97.9,nan,1.2732328340430457,1.990782691803138,-2.624188198875246,-1.384422294165803,0.6241881988752458,0.6155777058341969,-0.493288535574191
NGC2976,2802.0580953300155,5538.410139160995,-2736.3520438309793,2736.3520438309793,85.4,1.01,3.58,1.931457870689005,0.004321373782642578,0.5538830266438743,-1.925458269308345,0.5783573087462966,0.07454173069165493,2.5783573087462965,1.449127650346448
NGC2998,28670.85162086496,28616.481882100477,54.36973876448246,54.36973876448246,209.9,6.2,68.1,2.3220124385824006,0.7923916894982539,1.8331471119127851,-3.1869133089920276,-3.1869133089920276,1.1869133089920276,1.1869133089920276,0.26698282350476427
NGC3109,3430.63994090909,4423.8522505968285,-993.2123096877385,993.2123096877385,66.2,1.56,1.33,1.8208579894397,0.1931245983544616,0.12385164096708581,-1.7310203914859836,-1.7310203914859836,0.26897960851401637,0.26897960851401637,0.9428640797627225
NGC3198,17435.80527222222,13768.431845668107,3667.3734265541134,3667.3734265541134,150.1,3.14,13.8,2.1763806922432702,0.49692964807321494,1.1398790864012365,-1.8121955540039465,-1.8121955540039465,0.1878044459960535,0.1878044459960535,0.22838128017104486
NGC3521,14920.530683660416,28091.644459824573,-13171.113776164157,13171.113776164157,213.7,2.4,7.7,2.3298045221640695,0.38021124171160603,0.8864907251724818,-1.4582072765862497,-1.7472534846601564,0.5417927234137503,0.2527465153398436,0.832411779208503
NGC3726,19640.68161569816,10717.133543250533,8923.548072447626,8923.548072447626,168.0,3.4,18.0,2.225309281725863,0.5314789170422551,1.255272505103306,0.18388998931463202,0.18388998931463202,2.183889989314632,2.183889989314632,1.5385035566460363
NGC3741,2207.8972744736066,2322.8408691779287,-114.9435947043221,114.9435947043221,50.1,0.2,3.21,1.6998377258672457,-0.6989700043360187,0.5065050324048721,-1.813902782181462,-1.813902782181462,0.18609721781853805,0.18609721781853805,0.5693263466029478
NGC3769,11187.696072069028,9430.444985839407,1757.2510862296203,1757.2510862296203,118.6,3.38,18.0,2.074084689028244,0.5289167002776547,1.255272505103306,-4.338632362948916,-4.533538346841026,2.338632362948916,2.533538346841026,0.16599232717696255
NGC3877,8511.870875011962,10490.030989803952,-1978.16011479199,1978.16011479199,168.4,2.53,18.0,2.226342087163631,0.40312052117581787,1.255272505103306,0.9741086255474115,0.9741086255474115,2.9741086255474114,2.9741086255474114,0.22408896200586267
NGC3893,20779.43722419302,22638.309523608827,-1858.8722994158052,1858.8722994158052,174.0,2.38,18.0,2.2405492482826,0.37657695705651195,1.255272505103306,-5.500137725805881,-4.771384507285217,3.500137725805881,2.771384507285217,-0.11570027631605706
NGC3917,12839.298689427736,14197.35121263642,-1358.0525232086839,1358.0525232086839,135.9,2.63,18.0,2.1332194567324945,0.41995574848975786,1.255272505103306,-0.9079665769371719,-0.9079665769371719,1.0920334230628281,1.0920334230628281,0.3384748710489993
NGC3949,8598.26501,16667.58841767126,-8069.3234076712615,8069.3234076712615,163.0,3.59,18.0,2.2121876044039577,0.5550944485783191,1.255272505103306,-0.30575992076059677,-0.30575992076059677,1.6942400792394032,1.6942400792394032,2.4079126282930368
NGC3953,20134.54998401351,24386.81311595287,-4252.263131939362,4252.263131939362,220.8,4.89,18.0,2.3439990690571615,0.6893088591236202,1.255272505103306,-1.8354279214513796,-1.8354279214513796,0.16457207854862044,0.16457207854862044,0.14812716910095797
NGC3972,10572.12107,10591.281623386887,-19.16055338688784,19.16055338688784,132.7,2.18,18.0,2.1228709228644354,0.33845649360460484,1.255272505103306,-1.1818718447200776,-1.1818718447200776,0.8181281552799224,0.8181281552799224,0.9835092064588038
