row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,main,,,,,303.0,0.09343690298214016,0.08935529774222518,0.10020420109612925,0.0034096203715033215,0.0028896077690843194,0.0041738445083734635,216994,1/kpc
annulus,main,,,,,309.0,0.08887819063176135,0.08582340084589461,0.0935204820562089,0.003164827787382648,0.0027848021065822125,0.0036652206686909644,180729,1/kpc
annulus,main,,,,,315.0,0.08470435585071319,0.08241014125704048,0.08793954549439664,0.002957337237152303,0.002691431546477175,0.0032715169744758923,147799,1/kpc
annulus,main,,,,,321.0,0.08080682604966344,0.07908997548799707,0.08308749432064418,0.002751028670276805,0.0025850622748385247,0.0029694812688264415,115828,1/kpc
annulus,main,,,,,327.0,0.07719159901755208,0.07584868871434847,0.07882457313564072,0.0025815613545742255,0.002461763511899917,0.0027099517913498003,84749,1/kpc
annulus,main,,,,,333.0,0.07386826864792724,0.0726813541602332,0.07504470074446462,0.002418408509568208,0.0023012383032556074,0.002504209129773962,54481,1/kpc
annulus,main,,,,,339.0,0.07088406068184788,0.06978938287039169,0.07171245290123773,0.0022520573415500296,0.0020080894588343015,0.002334362181465495,24826,1/kpc
annulus,main,,,,,345.0,0.06869109658374455,0.06842379727042458,0.0688898974364446,0.001775690960557029,0.0015510709659179397,0.001935171598205339,1794,1/kpc
center_sample,sub,104.65133618524507,-55.954709016840965,1.693308429080059,0.12067283670857683,,,,,,,,,
annulus,sub,,,,,3.0,1.2063333849657707,1.0969075623694182,1.2969783439314273,0.15016542528642504,0.07423787311587386,0.5363764016237158,45240,1/kpc
annulus,sub,,,,,9.0,1.1355094918070359,1.005456284013829,1.2605830490959977,0.155062332447393,0.09326327995886939,0.31091969780058226,135671,1/kpc
annulus,sub,,,,,15.0,1.056151228878485,0.858249917359299,1.2694951768396017,0.16364377002202857,0.07566804555219354,0.46279301269678275,226149,1/kpc
annulus,sub,,,,,21.0,0.8863430792487483,0.7535786683155188,1.1615687623919693,0.13267535442321124,0.054806954349148125,0.3534863105487281,316593,1/kpc
annulus,sub,,,,,27.0,0.8119019472866212,0.6897040008093765,1.0114099846410263,0.08733517961509536,0.04464111133492261,0.2082211005455985,407059,1/kpc
