row_type,center,ra_deg,dec_deg,kappa,gradmag_1/kpc,r_mid_arcsec,kappa_median,kappa_p16,kappa_p84,gradmag_median_per_arcsec,gradmag_p16_per_arcsec,gradmag_p84_per_arcsec,n_pix,unit
annulus,sub,,,,,330.0,1.2529125660497625e-05,8.92828239153243e-06,1.5545465702943993e-05,4.939849436736603e-07,2.3563840223305067e-07,1.0119314657947453e-06,1597,1/kpc
annulus,sub,,,,,342.0,1.2062185399050618e-05,8.636051011900845e-06,1.548128819798549e-05,4.433925004314921e-07,2.13031204451606e-07,1.1945728021119521e-06,1653,1/kpc
annulus,sub,,,,,354.0,1.1668786261573374e-05,8.326300274939141e-06,1.550935663169838e-05,4.5847818660405625e-07,2.0373949195764704e-07,1.5282768581120192e-06,1732,1/kpc
annulus,sub,,,,,366.0,1.1456650422151566e-05,7.689245853352708e-06,1.4759025840075507e-05,4.185056957135083e-07,1.9631414496987267e-07,1.34348406166222e-06,1775,1/kpc
annulus,sub,,,,,378.0,1.0358555067222083e-05,7.203483220700081e-06,1.3909668838378008e-05,4.1284875365569553e-07,1.5990808200930387e-07,1.1170291754477021e-06,1847,1/kpc
annulus,sub,,,,,390.0,8.995224609181665e-06,6.740990523644674e-06,1.3285055684900143e-05,3.714247175485156e-07,1.626899817094459e-07,1.0522433679350665e-06,1918,1/kpc
annulus,sub,,,,,402.0,8.566257814586309e-06,6.430410477347802e-06,1.3336580788316184e-05,3.154580649106059e-07,1.3841657121139514e-07,9.613345842378232e-07,1955,1/kpc
annulus,sub,,,,,414.0,8.302377356539357e-06,6.203296436619483e-06,1.3195735401191105e-05,3.116142470870974e-07,1.4335622346052818e-07,8.116069341907721e-07,2009,1/kpc
annulus,sub,,,,,426.0,8.020978153476234e-06,5.7783536963085565e-06,1.2661659742270736e-05,2.978787891524626e-07,1.4330338953018696e-07,7.262844380065176e-07,2081,1/kpc
annulus,sub,,,,,438.0,7.877750686344849e-06,5.371851392692756e-06,1.1833009144164394e-05,3.071521918582791e-07,1.2990008350496772e-07,6.721468300506391e-07,2130,1/kpc
annulus,sub,,,,,450.0,7.5639473079010934e-06,4.5534823749011096e-06,1.1341080183528998e-05,2.646325959744693e-07,1.0847362324627865e-07,5.430370982754265e-07,2184,1/kpc
annulus,sub,,,,,462.0,7.31386177829787e-06,4.069234894693877e-06,1.1181888727642455e-05,2.6119440266809767e-07,1.0759934487115635e-07,5.65227699366105e-07,2265,1/kpc
annulus,sub,,,,,474.0,7.245594735547136e-06,3.912718277439452e-06,1.0984997439338992e-05,2.635108523344257e-07,1.1293735195056183e-07,5.863309111233867e-07,2303,1/kpc
annulus,sub,,,,,486.0,7.212087621521008e-06,3.754652440367168e-06,1.0979087296625321e-05,2.6671045926299553e-07,1.1695845619481183e-07,5.828565051264023e-07,2352,1/kpc
annulus,sub,,,,,498.0,6.821876189627141e-06,3.5888917123550716e-06,1.0732325329024206e-05,2.595886705629328e-07,1.2681231237172854e-07,5.511641890467031e-07,2417,1/kpc
annulus,sub,,,,,510.0,6.228842939012931e-06,3.5215166389124392e-06,1.0629857348700925e-05,2.6529916552130094e-07,1.2237855717703033e-07,5.63740339729417e-07,2493,1/kpc
annulus,sub,,,,,522.0,6.17492468431795e-06,3.5659721234950946e-06,1.0369832859861117e-05,2.828235375435932e-07,1.2906652361575178e-07,5.792142870006643e-07,2533,1/kpc
annulus,sub,,,,,534.0,6.599256214818341e-06,3.4451199919553854e-06,1.024530792679203e-05,2.60928107876864e-07,1.2250779551891652e-07,6.632267147336461e-07,2596,1/kpc
annulus,sub,,,,,546.0,6.654310114222413e-06,3.4402282649360054e-06,9.89325144947593e-06,2.435437209895623e-07,1.0582130461536038e-07,6.945842138656936e-07,2665,1/kpc
annulus,sub,,,,,558.0,6.55846639583076e-06,3.2236395375625096e-06,9.392345075531295e-06,2.486788699592898e-07,9.634363725163632e-08,6.241881593058865e-07,2697,1/kpc
annulus,sub,,,,,570.0,6.362309965805797e-06,2.9933436226180133e-06,8.96466275804516e-06,2.3284974576941572e-07,7.828444886541152e-08,5.186856383229679e-07,2759,1/kpc
annulus,sub,,,,,582.0,6.13672161213131e-06,2.513527025549494e-06,8.801348264867693e-06,2.1223389851726647e-07,7.514560930652345e-08,5.170311880032024e-07,2862,1/kpc
annulus,sub,,,,,594.0,6.483270455764213e-06,1.7654578363610912e-06,8.937279293293982e-06,2.3874099172377555e-07,7.08300083827594e-08,5.81683390449954e-07,2877,1/kpc
