galaxy,outer_rule,q_est_kms2,q_best_kms2,v_est_asym_kms,v_extra_asym_kms,vobs_outer_kms,delta_q_kms2,ratio_q,delta_v_kms
NGC4068,lastfrac,498.7843734903,1151.553059203065,22.333480998050888,33.93454079847059,30.4,-652.768685712765,0.4331405917461458,-11.601059800419705
NGC4085,lastfrac,4952.304729590413,7381.64130837625,70.37261349126102,85.91647867770332,130.0,-2429.3365787858365,0.6708947946266138,-15.543865186442304
NGC4088,rfrac,10694.12258,8780.67280167809,103.41239084365084,93.70524425920937,171.0,1913.4497783219085,1.2179160779064933,9.707146584441475
NGC4100,rfrac,19664.63963181818,21796.91890037901,140.23066580394666,147.63779631374553,158.0,-2132.279268560829,0.9021751983247617,-7.407130509798861
NGC4138,lastfrac,15415.48332854512,18659.28817220086,124.15910489587593,136.59900501907347,150.0,-3243.80484365574,0.8261560240819662,-12.439900123197546
NGC4157,rfrac,21713.590661260463,17452.54151332617,147.35532111620694,132.10806755579378,185.0,4261.049147934293,1.2441506381566663,15.247253560413156
NGC4183,rfrac,9123.968283333332,8535.275864399904,95.51946546821402,92.38655672986143,110.0,588.6924189334277,1.0689716921029848,3.1329087383525973
NGC4214,rfrac,5693.361574351553,7700.62667241955,75.45436749686232,87.75321459878009,80.4,-2007.2650980679973,0.7393374353210515,-12.298847101917772
NGC4217,rfrac,13419.512406494638,13695.658347472161,115.84261912825797,117.02845101714438,178.0,-276.1459409775234,0.9798369721285802,-1.1858318888864119
NGC4389,lastfrac,-3351.160634140778,4.299355507816561e-07,nan,0.0006556947085204029,83.5,-3351.1606345707132,-7794565087.832603,nan
NGC4559,rfrac,9865.799338746958,8389.15582148631,99.32673023283792,91.59233494941763,121.0,1476.643517260647,1.1760181296762502,7.734395283420284
NGC5005,rfrac,22891.55036206125,39357.28272756189,151.29953853882452,198.3866999764901,265.0,-16465.73236550064,0.5816344212714234,-47.08716143766557
NGC5033,rfrac,29281.974605916355,30570.85187169843,171.11976684742285,174.8452226161711,193.0,-1288.8772657820737,0.9578396679558911,-3.7254557687482475
NGC5055,rfrac,22339.777232601642,19920.446850623703,149.46496991804347,141.13981313089408,179.0,2419.3303819779394,1.1214496040234254,8.325156787149382
NGC5371,rfrac,19553.257149187244,16927.817470828173,139.83296159771217,130.1069462820036,208.0,2625.439678359071,1.1550961713099464,9.726015315708565
NGC5585,rfrac,6420.6461642936765,5753.043082219306,80.12893462597438,75.84881727633797,90.9,667.6030820743708,1.1160434699572657,4.280117349636413
NGC5907,rfrac,31668.703622222223,30410.755001713504,177.95702745950277,174.38679709689464,216.0,1257.9486205087196,1.0413652545107097,3.570230362608129
NGC5985,rfrac,62496.63531232685,62425.15737993142,249.99327053408228,249.85026992167013,291.0,71.47793239542807,1.0011450180567492,0.1430006124121519
NGC6015,rfrac,19827.035520238784,16857.18957563162,140.80850656206388,129.83524011466076,153.0,2969.8459446071647,1.1761768135360064,10.97326644740312
NGC6195,rfrac,25841.609599942487,23694.31279741945,160.7532568875122,153.92957089987436,254.0,2147.2968025230366,1.0906249875605971,6.823685987637845
NGC6503,rfrac,10996.095222307058,10445.66295611946,104.86226786746059,102.20402612480322,115.0,550.4322661875976,1.052694813962491,2.658241742657367
NGC6674,rfrac,47180.97593990751,44811.73807106131,217.21182274431453,211.68783165562755,242.0,2369.237868846205,1.0528709211209155,5.523991088686984
NGC6789,lastfrac,1459.9216660461168,3647.4653342850415,38.20892128870059,60.39424918222795,46.7,-2187.5436682389245,0.40025648834090527,-22.185327893527365
NGC6946,rfrac,14923.558872410307,14515.473237660584,122.16201894373843,120.48017777900473,157.0,408.0856347497229,1.0281138360471045,1.6818411647336973
NGC7331,rfrac,32851.16533857143,27191.62614994803,181.24890437895462,164.8988361085306,238.0,5659.539188623399,1.2081353706988287,16.350068270424032
NGC7793,rfrac,6731.484496849498,7626.300641697564,82.04562448326844,87.32869311799853,101.0,-894.816144848066,0.8826670771467402,-5.2830686347300855
NGC7814,rfrac,31511.63945,31882.560113101114,177.51518090011345,178.55688200991054,214.0,-370.92066310111477,0.9883660326590682,-1.0417011097970885
PGC51017,lastfrac,25.631383647139696,38.511488745732365,5.062744675286291,6.205762543453654,18.8,-12.880105098592669,0.6655516180215191,-1.1430178681673624
