galaxy,n_pts,Q_best,r_t_kpc,chi2_resp,chi2_bar,chi2_nfw,chi2_bur,chi2_rsig,chi2_rydk,chi2_nydk,chi2_rsyd,bic_resp,bic_bar,bic_nfw,bic_bur,bic_rsig,bic_rydk,bic_nydk,bic_rsyd,dbic_resp,dbic_nfw,dbic_bur,dbic_resp_vs_nfw,dbic_resp_vs_bur,dbic_rsig,dbic_rydk,dbic_nydk,dbic_rsyd,dbic_rsig_vs_nfw,dbic_rydk_vs_nfw,dbic_rydk_vs_nydk,dbic_rsyd_vs_nydk,sigma_fit_kpc,sigma_fit_k3_kpc,Y_disk_fit,Y_disk_k3_fit,Y_disk_nfw_fit,M_vir_nfw,c_nfw,distance_mpc,bic_fsgd,chi2_fsgd,dbic_fsgd,dbic_fsgd_vs_nfw,dbic_fsgd_vs_nydk,sigma_prescribed_kpc,Y_disk_fsgd_fit,bic_prior_rydk,bic_prior_nydk,bic_prior_rsyd,bic_prior_rsig,dbic_prior_rydk_vs_nydk,dbic_prior_rsyd_vs_nydk,dbic_prior_rydk_vs_bar,dbic_prior_nydk_vs_bar
ESO563-G021,30,48446.32352980236,2.758477209078409,708.5478648255325,7372.027061257691,577.7071454637062,268.8409278900439,164.18527740694657,523.0865433251391,482.5007895521338,477.5504686306336,711.9490622071947,7372.027061257691,584.5095402270305,275.64332265336816,170.98767217027088,529.8889380884634,492.7043816971203,487.7540607756201,-6660.077999050496,-6787.51752103066,-7096.383738604322,127.43952198016427,436.3057395538266,-7201.039389087419,-6842.138123169227,-6879.322679560571,-6884.2730004820705,-413.52186805675956,-54.62060213856705,37.18455639134311,-4.950320921500236,4.52956626246145,9.999321759284674,1.194000899791719,1.1684068428962657,0.9089968293436029,545.5166124655003,9.317285820247683,60.8,471.39776512140367,464.5953703580794,-6900.629296136287,-113.1117751056268,-21.306616575716646,23.743446773669287,1.1476614233688442,549.332986641247,498.22683984522087,521.2671282837105,177.1335949543791,51.10614679602611,23.040288438489597,-6822.694074616444,-6873.80022141247
F561-1,6,984.643902044117,1.61,3.0939990745598167,21.899136718626195,1.693488070940273,1.2843731038978934,1.0494012437720288,2.9002296041420585,0.8020657970117342,0.6342168458649527,4.885758543787872,21.899136718626195,5.2770070093963835,4.867892042354003,4.632920182228139,6.4837485425981685,6.177344204695899,6.009495253549118,-17.013378174838323,-16.62212970922981,-17.03124467627219,-0.3912484656085118,0.017866501433868365,-17.266216536398055,-15.415388176028028,-15.721792513930296,-15.889641465077077,-0.6440868271682447,1.206741533201785,0.3064043379022694,-0.1678489511467811,0.5050866432065285,0.7964685136445239,0.3745826339454643,0.3516996378134295,0.10027736747158289,0.4211310905833167,11.012298261991257,66.4,5.32410643286463,1.7405874944085205,-16.575030285761564,0.04709942346824647,-0.8532377718312691,1.61,0.321918969770193,12.4280083807824,141.86508015182335,18.03131045275209,11.293855015916868,-129.43707177104096,-123.83376969907125,-9.471128337843796,119.96594343319715
F563-1,17,10690.87240923833,1.78,9.88447597761513,539.0031402533596,16.040481386269022,8.441347816881235,5.514062618596539,7.564136055202432,16.020920461380538,3.757106601285755,12.717689321671347,539.0031402533596,21.706908074381452,14.107774504993667,11.18048930670897,13.230562743314865,24.520560493549187,12.256746633454405,-526.2854509316882,-517.2962321789781,-524.8953657483659,-8.989218752710105,-1.39008518332232,-527.8226509466506,-525.7725775100447,-514.4825797598104,-526.7463936199051,-10.526418767672482,-8.476345331066588,-11.289997750234322,-12.263813860094782,1.0477399213839318,0.9899280958778602,1.4968842554837467,1.3966944338310423,0.10113952994526648,31.18621529467146,7.815497288165269,48.9,12.059185728420106,6.3927590403076735,-526.9439545249395,-9.647722345961347,-12.461374765129081,1.78,1.4088846470757892,49.22686027872288,158.86729024496114,45.10777630116963,13.397252778145663,-109.64042996623826,-113.75951394379152,-489.7762799746367,-380.1358500083984
F563-V1,6,291.7721031702236,3.93,3.3800020594060682,5.877555700743584,1.0030834374231938,0.7610908200697755,3.1012782541397574,1.5211412050819875,0.9927647550409113,1.5211412050819875,5.171761528634123,5.877555700743584,4.586602375879304,4.344609758525886,6.684797192595868,5.104660143538098,6.368043162725076,6.896419612766152,-0.7057941721094609,-1.2909533248642804,-1.5329459422176983,0.5851591527548194,0.8271517701082374,0.8072414918522837,-0.7728955572054863,0.49048746198149207,1.0188639120225682,2.098194816716564,0.5180577676587941,-1.2633830191869784,0.5283764500410761,0.8670164503018823,2.1042778680232535,0.7234692518733683,0.7234692531253374,0.543865439867482,0.09547838813621631,5.195468777356289,54.0,5.104660143538098,1.5211412050819875,-0.7728955572054863,0.5180577676587941,-1.2633830191869784,3.93,0.723469250940356,4.0572154253199875,3.622404500838469,7.798835129990861,9.645529414476963,0.4348109244815186,4.176430629152392,-1.8203402754235967,-2.2551511999051153
F563-V2,10,15154.419606967731,2.35,20.18984674410907,226.6159864283833,9.860421028377308,1.4317830720470563,13.182028042190854,12.852918247962764,8.05311575933671,7.872448914521742,22.492431837103116,226.6159864283833,14.4655912143654,6.036953258035148,17.787198228178944,17.458088433950856,14.96087103831885,14.78020419350388,-204.1235545912802,-212.15039521401792,-220.57903317034817,8.026840622737716,16.455478579067968,-208.82878820020437,-209.15789799443246,-211.65511539006445,-211.83578223487942,3.3216070138135443,2.992497219585456,2.4972173956320063,-0.18066684481496864,1.0879142995763311,0.9989550518639635,1.49816681382246,1.4962339641412103,1.4999778617375354,97.45629070635394,7.512926453741146,59.7,19.259186994725518,14.654016808737428,-207.35679943365778,4.793595780360118,4.298315956406668,2.35,1.4990853667259212,53.52572951714992,51.1292603246978,53.11743581472308,19.89026850475783,2.396469192452116,1.9881754900252773,-173.09025691123338,-175.4867261036855
F565-V2,7,8654.422529744954,7.54,61.92700612167347,302.9964339919946,2.018379503678353,0.28729393671899844,18.462002687520595,27.222889071734496,1.8341915799759865,9.312152491471856,63.87291627072879,302.9964339919946,5.91019980178898,4.179114234829625,22.353822985631222,31.114709369845123,7.671922027141926,15.149882938637795,-239.1235177212658,-297.08623419020563,-298.81731975716497,57.96271646893981,59.69380203589916,-280.6426110063634,-271.8817246221495,-295.32451196485266,-287.8465510533568,16.44362318384224,25.204509568056142,23.4427873427032,7.4779609114958685,9.947090384147016,9.988087355490263,1.4997413342446086,1.4998075855599748,1.4980529114195273,139.58288794797906,3.000136184926375,51.8,13.898101292641156,10.00628099453053,-289.0983326993534,7.987901490852177,6.22617926549923,7.54,1.4999690200667826,67.26994022886853,43.73322701355482,66.70898838628395,37.69293535693751,23.536713215313718,22.97576137272913,-235.72649376312606,-259.26320697843977
F567-2,5,2057.5269149306437,1.92,2.9928483778498327,51.16180825637067,1.4450746075642031,0.785067696078632,1.0075539287761806,1.3616512633536624,1.3976118245561806,0.43776541088877535,4.602286290283933,51.16180825637067,4.6639504324324035,4.003943520946833,4.226429753644381,4.580527088221863,6.225925561858482,5.266079148191076,-46.559521966086734,-46.49785782393827,-47.157864735423836,-0.06166414214847027,0.5983427693371004,-46.93537850272629,-46.581281168148806,-44.93588269451219,-45.895729108179594,-0.43752067878802237,-0.08342334421054076,-1.645398473636619,-0.9598464136674059,0.761129490148197,0.8000300911086247,1.0120098834158808,0.8097615371003566,0.28017633778220113,2.3636970605480916,6.50262693372725,79.0,4.495867872929657,1.2769920480614567,-46.66594038344101,-0.16808255950274642,-1.7300576889288246,1.92,0.9898368337588741,14.793914579662573,27.49814378586681,10.246074184961373,7.8654976922159445,-12.704229206204236,-17.252069600905436,-36.36789367670809,-23.66366447050386
F568-1,12,14374.632665799003,1.32,1.0000441938675724,477.8910596868799,8.589386164013739,1.006164617027515,0.9463999702334321,0.4647457026978989,8.08258480592173,0.33457833808767085,3.4849508436555725,477.8910596868799,13.559199463589739,5.975977916603515,5.9162132698094325,5.434559002273899,15.537304755285732,7.789298287451673,-474.40610884322433,-464.33186022329016,-471.91508177027634,-10.074248619934167,-2.4910270729479427,-471.97484641707047,-472.456500684606,-462.35375493159415,-470.1017613994282,-7.642986193780306,-8.124640461315838,-10.102745753011831,-7.748006467834059,1.9177451872053735,1.8620187513010207,0.949441522443415,0.8618112171552216,0.10002386402085234,160.60273096223804,6.519914037196047,90.7,7.307491422193617,2.337678122617616,-470.5835682646863,-6.251708041396122,-8.229813333092114,1.32,1.49423511182889,12.735760404557471,151.6227814591983,13.078451443858297,7.6771512179123045,-138.88702105464083,-138.54433001534002,-465.1552992823224,-326.26827822768155
F568-3,18,11024.260495845008,4.19,40.61992888123076,531.5581999834988,56.49859414881088,16.739647895886723,40.150454180933146,15.821642544551064,50.81097227416709,10.14757667124595,43.510300639126925,531.5581999834988,62.27933766460321,22.52039141167905,45.93119769672548,21.60238606034339,59.482087547855585,18.818691944934443,-488.04789934437184,-469.27886231889556,-509.0378085718197,-18.769037025476287,20.989909227447875,-485.6270022867733,-509.95581392315535,-472.07611243564315,-512.7395080385643,-16.348139967877735,-40.67695160425982,-37.87970148751219,-40.66339560292114,2.156763312468574,0.8173915462775164,1.2745701433348562,1.4437321910780714,1.4998695143602867,130.29178767981273,3.000197815049582,82.4,35.139730287056665,29.358986771264334,-496.4184696964421,-27.139607377546547,-24.34235726079892,4.19,1.4957767206637798,45.360738940924776,95.64444926824898,55.11363017841463,47.94277538712551,-50.2837103273242,-40.530819089834345,-486.197461042574,-435.91375071524976
F568-V1,15,12122.348960865764,1.18,3.0871639206860215,683.5482454386091,2.8373991649505985,0.6990399977561998,1.1339704415819687,2.7544843196556874,2.660975755616937,1.0324640434744843,5.795214121788232,683.5482454386091,8.253499567155018,6.1151403999606195,6.550070843786389,8.170584721860108,10.785126358923566,9.156614646781113,-677.7530313168209,-675.2947458714541,-677.4331050386485,-2.458285445366786,-0.31992627817238795,-676.9981745948227,-675.377660716749,-672.7631190796856,-674.391630791828,-1.7034287233686287,-0.08291484529491022,-2.614541637063459,-1.628511712142453,1.616840277505286,1.5851409558509826,1.448933586962518,1.314977895917007,0.10082041012481688,20.522181763944996,15.208125621867211,80.6,8.046619205034087,2.630518802829667,-675.501626233575,-0.20688036212093053,-2.738507153889479,1.18,1.4969816350976917,41.50311347746325,145.6261187732694,36.700042937284906,8.143521015871835,-104.12300529580617,-108.9260758359845,-642.0451319611459,-537.9221266653396
F571-8,13,12491.704705442622,1.5406677643272788,250.64690906626436,2150.8652042646213,217.97063356602547,119.2173742461923,102.29673497137988,85.5047312723168,33.527599452498,2.819466277705611,253.2118584237259,2150.8652042646213,223.10053228094856,124.34727296111538,107.42663368630295,90.63462998723988,41.22244752488261,10.514314350090222,-1897.6533458408953,-1927.7646719836728,-2026.517931303506,30.11132614277733,128.8645854626105,-2043.4385705783184,-2060.2305742773815,-2109.6427567397386,-2140.350889914531,-115.6738985946456,-132.46590229370867,49.412182462357265,-30.708133174792387,4.794025635751064,3.93242744386902,0.10003490448417283,0.17912714030242646,0.10000061968077406,968.138519902683,3.001537336713473,53.3,291.13737433090444,286.0074756159814,-1859.7278299337167,68.03684204995588,249.9149268060218,2.2272618355912797,0.6366887220336075,226.70275161247486,177.34447302011853,75.08296898335406,114.07002289187959,49.35827859235633,-102.26150403676446,-1924.1624526521464,-1973.5207312445027
F571-V1,7,5662.628686334794,3.88,2.9889725772585978,279.02710961673114,1.593909477992644,0.15717555739561181,2.844247486537572,0.5153862313283923,1.11637463406749,0.4840244261549033,4.934882726313911,279.02710961673114,5.485729776103271,4.048995855506238,6.736067784648199,4.407206529439019,6.954105081233429,6.321754873320843,-274.09222689041724,-273.5413798406279,-274.9781137612249,-0.5508470497893594,0.8858868708076733,-272.29104183208295,-274.61990308729213,-272.0730045354977,-272.7053547434103,1.2503380085449285,-1.0785232466642514,-2.54689855179441,-0.6323502079125864,1.6364314681427243,2.2164812263992157,1.4018699141812974,1.4946690386073394,1.25717068396381,24.41984386252937,4.956231850846323,80.1,4.764539653785436,0.872719355674809,-274.2625699629457,-0.721190122317835,-2.1895654274479934,3.88,1.497120866462697,35.1343388421524,29.772816537890904,44.28051286059918,8.333694737420451,5.361522304261499,14.507696322708277,-243.89277077457874,-249.25429307884025
F574-1,14,7687.6828005483285,1.41,6.165974294186705,1580.480826541699,19.724892360637682,1.1326655647235826,4.635135474043906,1.6768763659852604,19.262129311031096,1.2023818463801628,8.805031623801963,1580.480826541699,25.0030070198682,6.4107802239541,9.913250133274424,6.954991025215778,27.17930129987687,9.119553835225938,-1571.6757949178968,-1555.4778195218307,-1574.0700463177448,-16.197975396066237,2.394251399847863,-1570.5675764084244,-1573.525835516483,-1553.301525241822,-1571.3612727064728,-15.089756886593776,-18.048015994652424,-20.224310274661093,-18.059747464650933,1.7282365983477153,1.7909850614228688,1.0722790602760872,0.9217186143381426,0.10058301049762264,23.848149288204674,8.063289372179005,96.8,8.950834929444659,3.6727202702141413,-1571.5299916122542,-16.05217209042354,-18.22846637043221,1.41,1.0852487270334252,20.12087902136926,162.3895796032557,16.857449073608677,11.544353269457616,-142.26870058188643,-145.53213052964702,-1560.3599475203296,-1418.0912469384432
F574-2,5,130.32842650945648,2.17,0.2571269651416749,0.4448640453878244,0.4288599410715462,0.2960625725732702,0.25602535501696505,0.12499677553860755,0.34994575649432813,0.03487916435057507,1.866564877575775,0.4448640453878244,3.6477357659397467,3.5149383974414707,3.4749011798851654,3.343872600406808,5.178259493796629,4.863192901652876,1.4217008321879505,3.202871720551922,3.070074352053646,-1.7811708883639716,-1.6483735198656957,3.030037134497341,2.8990085550189835,4.733395448408805,4.418328856265052,-0.17283458605458124,-0.3038631655329387,-1.834386893389821,-0.31506659214375343,1.0428554829486114,3.582018944500867,0.34550443096668254,0.2672982503649922,0.5402464233919932,0.010416151453670024,3.0001921694429075,89.1,3.328957090493152,0.1100812656249513,2.8840930451053275,-0.31877867544659466,-1.849302403303477,2.17,0.33216285112212085,12.8006904536741,2.4795438044332916,33.68675402496895,5.706574493245687,10.32114664924081,31.207210220535657,12.355826408286276,2.034679759045467
F579-V1,14,11145.904580506627,1.47,40.89687800176183,390.8639021987746,2.247159690964452,3.0582010075724186,8.810575886014028,25.978612742569272,2.207359868749684,7.05065256765002,43.53593533137708,390.8639021987746,7.525274350194969,8.336315666802935,14.088690545244546,31.25672740179979,10.124531857595459,14.967824556495795,-347.32796686739755,-383.3386278485796,-382.5275865319717,36.01066098118211,35.19961966457414,-376.77521165353005,-359.60717479697485,-380.73937034117915,-375.89607764227884,6.5634161950495775,23.73145305160482,21.13219554420433,4.843292698900337,0.30025138709092397,0.30073220712720306,1.499331622123716,1.4077803130191517,0.7615563563402798,9.67848078831041,22.7268373111139,89.5,25.819292515656628,20.54117785642611,-365.044609683118,18.294018165461658,15.694760658061169,1.47,1.495580380484836,67.38916559896188,10.150098793584178,58.42932156270158,26.517550294723375,57.2390668053777,48.2792227691174,-323.47473659981273,-380.71380340519045
F583-1,25,4900.522771508545,1.22,5.5008880468357,1243.5689783430962,36.832286186927476,4.722370809102618,3.3580028898999355,3.540802955450831,34.02231151735882,2.6187373512693743,8.7197638717039,1243.5689783430962,43.270037836663874,11.16012245883902,9.795754539636336,9.978554605187233,43.67893899196342,12.275364825873975,-1234.8492144713923,-1200.2989405064322,-1232.4088558842573,-34.55027396495997,-2.440358587135119,-1233.7732238034598,-1233.590423737909,-1199.8900393511328,-1231.2936135172222,-33.47428329702754,-33.29148323147664,-33.700384386776186,-31.403574166089445,2.330376034449261,2.2344561388879938,0.9000418918213724,0.7811383666496245,0.10003441026910784,33.64118981405846,4.703152481845245,35.4,31.886207558212146,25.448455908475744,-1211.682770784884,-11.383830278451729,-11.792731433751275,1.22,1.498185656815719,15.119994922110607,179.74783743546806,15.027165348926822,12.03288871934762,-164.62784251335745,-164.72067208654124,-1228.4489834209855,-1063.8211409076282
F583-4,12,3595.5405411091415,1.94,15.780473289909864,458.72334893944765,1.5171369804490147,4.461384364008987,15.178431726784506,3.392449464645026,1.1838491275509566,2.328851735392668,18.265379939697866,458.72334893944765,6.486950280025015,9.431197663584989,20.148245026360506,8.362262764221027,8.638569076914958,9.78357168475667,-440.45796899974977,-452.2363986594226,-449.29215127586264,11.77842965967285,8.834182276112877,-438.57510391308716,-450.3610861752266,-450.0847798625327,-448.93977725469097,13.661294746335491,1.8753124841960123,-0.27630631269393113,1.145002607841711,1.523712416165816,4.839707291460245,1.4996999649703637,1.499874370635867,0.939942604397805,22.208769155253332,4.538541451915552,53.3,8.451492581210179,3.4816792816341784,-450.27185635823747,1.9645423011851637,-0.1870764957047797,1.94,1.4996999649703637,44.51519219397859,15.513954448390194,52.67524743857773,21.738057643011338,29.001237745588398,37.16129299018753,-414.20815674546907,-443.2093944910574
IC2574,34,5138.164492042776,6.54,1634.8771539153915,13829.857075531063,1629.2009398160872,80.58396737093611,572.6896554667668,130.00902324208218,722.3050337148157,68.33731795281321,1638.4035144400077,13829.857075531063,1636.2536608653195,87.63668842016843,579.7423765159991,137.0617442913145,732.8841152886642,78.91639952666169,-12191.453561091055,-12193.603414665744,-13742.220387110894,2.1498535746882226,1550.7668260198393,-13250.114699015065,-13692.795331239748,-13096.9729602424,-13750.940676004402,-1056.5112843493202,-1499.191916574005,-595.8223709973497,-653.9677157620025,9.998270442646104,9.98970465584321,1.499793151328779,1.3558682666887503,1.4999845067455675,7.3930527822230845,3.0000092860222107,3.91,72.96727320126438,65.91455215203206,-13756.889802329799,-1563.2863876640552,-659.9168420873999,6.54,1.26532288998999,173.21985781140538,769.0528742501159,122.51202145854808,595.1577180767443,-595.8330164387105,-646.5408527915679,-13656.637217719657,-13060.804201280947
