r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,mode_1,mode_2,mode_3,mode_4,mode_5
562.3535392821701,377.72689786014917,333.45930934228835,44.26758851786079,1998.3532168252443,152.92737626665343,2151.2805930918976,27773936142878.285,174711141169693.8,185955760515019.12,243310896975740.53,0.7180571990045868,0.7642722246573279,0.07108667124024985,0.9998416420974869,0.14935776157703415,24518978172822.664,1998.3532168252443,128.5851091103501,20.181942126651656,3.5936693412558585,0.5666556883958089
609.5912365818724,355.1756467575529,316.9135954464296,38.2620513111233,1981.405882634492,158.52066122284364,2139.9265438573357,30687482730124.96,201882662804562.22,215578984886477.44,265347528583996.38,0.7608236032266484,0.8124401460865139,0.07407761807426408,0.9998386970948279,0.14234913828119564,27381608440746.242,1981.405882634492,132.04417121142095,21.565493859534392,4.126179113885377,0.7848170380029249
656.8289338815746,335.20767488527827,301.69435816891183,33.51331671636646,1970.954033287249,169.8183378462129,2140.772371133462,33624757420523.938,231331600734801.47,248366116479674.34,286884474610753.44,0.8063580333117488,0.8657356478305736,0.07932573314943345,0.9998480813337657,0.13538383535209683,30263029067106.383,1970.954033287249,138.49298362825053,24.55549365464805,5.429624779927964,1.3402357833863636
704.0666311812769,317.37102753991945,287.6988185532395,29.67220898667996,1957.4511914714938,177.8007498603336,2135.2519413318273,36579305563432.87,262189708042075.22,282682529989190.6,307916690105893.06,0.8514956040606559,0.9180487419891907,0.08326921353806774,0.9998705020440415,0.12940065862871541,33159368943259.55,1957.4511914714938,142.9949069222404,26.710748282249416,6.3662521958591825,1.7288424599846155
751.3043284809793,301.3234374741644,274.818462560377,26.504974913787414,1934.1368816064946,176.87165993888357,2111.008541545378,39546253882863.52,293386010940521.9,316598979793057.0,328446432666030.5,0.893253760009144,0.9639288124495473,0.08378538336439106,0.9998988948384343,0.12490960617975677,36067691193263.8,1934.1368816064946,142.31259114454565,26.554283573671977,6.306758742839423,1.6980264778265228
798.5420257806816,286.798626050939,262.9477710804051,23.85085497053386,1899.8577072586945,167.8712102576884,2067.728917516383,42521960127546.8,324202785410573.6,349092070995479.5,348480928281042.1,0.9303315019555712,1.0017537336044529,0.08118627583896444,0.9999254726976607,0.12180729286199521,38985732921615.87,1899.8577072586945,136.58872209121523,24.40183400551834,5.490826042516586,1.3898281184382362
845.7797230803839,273.5847178250564,251.9882876924641,21.596430132592282,1857.2278483624575,154.5656597675537,2011.793508130011,45503733129066.3,354405491398311.7,380113486307143.8,368030729248240.25,0.9629779886104614,1.0328308374781217,0.07682978354534237,0.9999464818313273,0.11971091468272144,41911726232239.55,1857.2278483624575,127.79117417954468,21.321926727137928,4.426083099894888,1.026475760976207
893.017420380086,261.5099020173394,241.85020954449644,19.659692472843,1809.7246433726345,140.1787446393595,1949.9033880119941,48489605951814.766,384051793698759.4,410043972342656.1,387108552069224.06,0.9921036144664712,1.0592480330151184,0.07189009747927945,0.9999616758887094,0.11825464882408779,44844272701378.97,1809.7246433726345,117.85632274937082,18.160593280425747,3.4388360606113118,0.7229925489516347
940.2551176797883,250.43261939883624,232.45268308858624,17.979936310249997,1760.1523919206631,126.48216577842985,1886.634557699093,51478153782505.66,413289629178342.75,439288911525491.44,405728451907070.1,1.0186360538328834,1.0827165545346278,0.06704115816297,0.9999722444716447,0.11718518822553625,47782253749193.11,1760.1523919206631,108.00904975682576,15.328893542710402,2.641773930929241,0.5024485479644359
987.4928149794907,240.23467065147713,223.72344845985893,16.51122219161819,1710.3483289072021,114.17066711752209,1824.5189960247242,54468351167217.58,442255231156467.0,468141120036238.7,423905235291585.56,1.043287967067119,1.1043532399740834,0.06257576236053337,0.9999795285828453,0.11635028164798084,50724765588607.48,1710.3483289072021,98.83956255826925,12.944326038006073,2.0356317459361515,0.3511467753106095
1034.730512279193,230.81625852233736,215.59818348329665,15.218075039040723,1661.383588881299,103.37414291773483,1764.7577317990338,57459463101470.99,471044752256810.3,496778739925850.25,441654042856286.7,1.0665469044740237,1.1248142023404981,0.05857695991639198,0.9999845868243716,0.1156640944619479,53671071301087.68,1661.383588881299,90.5524043872527,10.987928562415346,1.5846425752304296,0.2491673928363639
