name,type,source,redshift,M500_Msun,M_bar_Msun,M_gas_Msun,M_star_Msun,sigma_kms,sigma2_kms2,Q1_MOND_kms2,Q1_cluster_kms2,IRS_closure,Q1_ref_kms2
PSZ2 G207.88+81.31,cluster,PSZ2_Planck2016,0.353,750377200000000.0,101300922000000.0,93797150000000.0,7503772000000.0,872.3190435414762,760940.5137251158,1270141.9540257002,325255.37829531584,0.2560779740126075,1270141.9540257002
PSZ2 G208.60-26.00,cluster,PSZ2_Planck2016,0.2195,774384000000000.0,104541840000000.0,96798000000000.0,7743840000000.0,881.5982893131111,777215.5437198039,1290299.8066489168,327591.544063804,0.2538879277325504,1290299.8066489168
PSZ2 G208.61-74.39,cluster,PSZ2_Planck2016,0.72,625378300000000.0,84426070500000.0,78172287500000.0,6253783000000.0,820.5128396426552,673241.3200184536,1159534.968647953,310133.2334050037,0.26746345887837,1159534.968647953
PSZ2 G208.80-30.67,cluster,PSZ2_Planck2016,0.2475,725562700000000.0,97950964500000.0,90695337500000.0,7255627000000.0,862.5180268013758,743937.3465573387,1248964.0006664474,322660.04333928874,0.2583421485063759,1248964.0006664474
PSZ2 G209.17-80.38,cluster,PSZ2_Planck2016,0.1597,316637300000000.0,42746035500000.0,39579662500000.0,3166373000000.0,652.7851328171469,426128.42962710006,825075.1051232594,242282.00554515008,0.2936484255078271,825075.1051232594
PSZ2 G209.53+43.32,cluster,PSZ2_Planck2016,0.192,381720600000000.0,51532281000000.0,47715075000000.0,3817206000000.0,695.1010090030345,483165.4127170367,905910.4000880847,261530.22536413668,0.2886932585592429,905910.4000880847
PSZ2 G209.54-36.50,cluster,PSZ2_Planck2016,0.0326,271388500000000.0,36637447500000.0,33923562500000.0,2713885000000.0,619.8236199637391,384181.3198649537,763850.1476607936,226607.32191220368,0.296664630629664,763850.1476607936
PSZ2 G209.79+10.23,cluster,PSZ2_Planck2016,0.677,1072731800000000.0,144818793000000.0,134091475000000.0,10727318000000.0,983.617906050814,967504.1851037882,1518651.1526636644,344653.0382900882,0.2269468124299501,1518651.1526636644
PSZ2 G210.01+50.85,cluster,PSZ2_Planck2016,0.319,495600800000000.0,66906108000000.0,61950100000000.0,4956008000000.0,758.8321971201116,575826.3033861358,1032234.6800013992,288069.8234889358,0.2790739635763307,1032234.6800013992
PSZ2 G210.08-60.96,cluster,PSZ2_Planck2016,0.322,605495400000000.0,81741879000000.0,75686925000000.0,6054954000000.0,811.6534575532269,658781.3351581078,1140953.3048671102,307217.6877670078,0.2692640325037581,1140953.3048671102
PSZ2 G210.22+15.56,cluster,PSZ2_Planck2016,0.062,203134900000000.0,27423211500000.0,25391862500000.0,2031349000000.0,562.3374472564376,316223.40458688675,660852.7764265067,198278.9142465368,0.3000349265667151,660852.7764265067
PSZ2 G210.64+17.09,cluster,PSZ2_Planck2016,0.48,779024600000000.0,105168321000000.0,97378075000000.0,7790246000000.0,883.3698895666607,780342.3617930143,1294160.1791770414,328023.9300041144,0.2534647065193316,1294160.1791770414
PSZ2 G211.21+38.66,cluster,PSZ2_Planck2016,0.5049,699073400000000.0,94374909000000.0,87384175000000.0,6990734000000.0,851.8066990518522,725574.6525496127,1225953.0411185008,319677.6064315127,0.2607584431944099,1225953.0411185008
PSZ2 G212.25-53.20,cluster,PSZ2_Planck2016,0.188,434292200000000.0,58629447000000.0,54286525000000.0,4342922000000.0,725.8989361957495,526929.2655701208,966281.0472055468,274769.8769678208,0.2843581355160036,966281.0472055468
PSZ2 G212.44+63.19,cluster,PSZ2_Planck2016,0.541977,565937100000000.0,76401508500000.0,70742137500000.0,5659371000000.0,793.4352692318336,629539.5264609922,1103053.3784412562,300944.27855334216,0.2728283911143191,1103053.3784412562
PSZ2 G212.50-61.38,cluster,PSZ2_Planck2016,0.5049,621867400000000.0,83952099000000.0,77733425000000.0,6218674000000.0,818.962197624973,670699.0811387253,1156275.548610924,309629.4985496253,0.2677817574898946,1156275.548610924
PSZ2 G212.80+50.63,cluster,PSZ2_Planck2016,0.218671,401658200000000.0,54223856999999.99,50207274999999.99,4016582000000.0,707.0941241389138,499982.1003917776,929267.5362586572,266770.7138204777,0.2870763299173547,929267.5362586572
PSZ2 G212.82-84.04,cluster,PSZ2_Planck2016,0.2275,567925400000000.0,76669929000000.0,70990675000000.0,5679254000000.0,794.3708012391644,631024.969861352,1104989.3516016435,301275.272225252,0.2726499325885484,1104989.3516016435
PSZ2 G212.93-54.04,cluster,PSZ2_Planck2016,0.59,621502000000000.0,83902770000000.0,77687750000000.0,6215020000000.0,818.8004795264218,670434.2252726982,1155935.793570035,309576.80177969823,0.2678148764851288,1155935.793570035
PSZ2 G213.27+78.38,cluster,PSZ2_Planck2016,0.316,481576700000000.0,65012854500000.0,60197087500000.0,4815767000000.0,751.5484696167873,564825.1021833351,1017525.2141742116,285211.3162642851,0.2802990159764766,1017525.2141742116
PSZ2 G213.30+50.99,cluster,PSZ2_Planck2016,0.3205,470858700000000.0,63565924499999.99,58857337499999.99,4708586999999.999,745.8863155494647,556346.3957239556,1006138.4503733048,282955.7110419057,0.2812293983367014,1006138.4503733048
PSZ2 G213.39+80.59,cluster,PSZ2_Planck2016,0.5586,703422200000000.0,94961997000000.0,87927775000000.0,7034222000000.0,853.5834730731044,728604.7455035432,1229760.337201851,320182.6926062432,0.2603618631373122,1229760.337201851
PSZ2 G214.08+23.15,cluster,PSZ2_Planck2016,0.2557,569235400000000.0,76846779000000.0,71154425000000.0,5692354000000.0,794.9859926535416,632002.728515337,1106263.0244074718,301492.416714237,0.272532309281258,1106263.0244074718
PSZ2 G214.61-22.70,cluster,PSZ2_Planck2016,0.154,539404900000000.0,72819661500000.0,67425612500000.0,5394049000000.0,780.7370694816718,609550.3716628288,1076886.3949548576,296360.28951747884,0.2752010712605409,1076886.3949548576
PSZ2 G215.19-49.65,cluster,PSZ2_Planck2016,0.2399,599347800000000.0,80911953000000.0,74918475000000.0,5993478000000.0,808.8751878428104,654279.0695077418,1135146.473707501,306284.85085004184,0.2698196734467977,1135146.473707501
PSZ2 G215.24-26.10,cluster,PSZ2_Planck2016,0.336,624237800000000.0,84272103000000.0,78029725000000.0,6242378000000.0,820.009755905463,672415.999780137,1158477.1664194986,309970.111987437,0.2675668722461406,1158477.1664194986
PSZ2 G215.51+06.58,cluster,PSZ2_Planck2016,0.2197,803787400000000.0,108511299000000.0,100473425000000.0,8037874000000.0,892.7067924446453,796925.417276807,1314567.961824454,330229.17140770704,0.2512073783917498,1314567.961824454
