obsid,status,name,ra,dec,time,detector,grating,exposure,type,pi,public_date,__row
27575,archived,Abell 2744,3.58854,-30.40122,59915.421400463,ACIS-I,NONE,19910,GO,Bogdan,60443,5849
27678,archived,Abell 2744,3.58854,-30.40122,59971.2073958333,ACIS-I,NONE,12580,GO,Bogdan,60443,5850
27679,archived,Abell 2744,3.58854,-30.40122,59972.0366087963,ACIS-I,NONE,12090,GO,Bogdan,60443,5851
27680,archived,Abell 2744,3.58854,-30.40122,59972.7878125,ACIS-I,NONE,13390,GO,Bogdan,60443,5852
27681,archived,Abell 2744,3.58854,-30.40122,59973.1523148148,ACIS-I,NONE,9910,GO,Bogdan,60443,5853
27739,archived,Abell 2744,3.58854,-30.40122,60218.9860416667,ACIS-I,NONE,21590,GO,Bogdan,60443,5854
27780,archived,Abell 2744,3.58854,-30.40122,60177.3201967593,ACIS-I,NONE,15090,GO,Bogdan,60443,5855
27856,archived,Abell 2744,3.58854,-30.40122,60089.425625,ACIS-I,NONE,16090,GO,Bogdan,60443,5856
27857,archived,Abell 2744,3.58854,-30.40122,60090.9805902778,ACIS-I,NONE,13090,GO,Bogdan,60443,5857
27896,archived,Abell 2744,3.58854,-30.40122,60105.5058449074,ACIS-I,NONE,13910,GO,Bogdan,60443,5858
27974,archived,Abell 2744,3.58854,-30.40122,60161.1567013889,ACIS-I,NONE,29090,GO,Bogdan,60443,5859
28370,archived,Abell 2744,3.58854,-30.40122,60169.7190509259,ACIS-I,NONE,21000,GO,Bogdan,60443,5860
28483,archived,Abell 2744,3.58854,-30.40122,60175.9643055556,ACIS-I,NONE,20490,GO,Bogdan,60443,5861
28872,archived,Abell 2744,3.58854,-30.40122,60188.2990972222,ACIS-I,NONE,13260,GO,Bogdan,60443,5862
28886,archived,Abell 2744,3.58854,-30.40122,60197.8511574074,ACIS-I,NONE,10090,GO,Bogdan,60443,5863
28887,archived,Abell 2744,3.58854,-30.40122,60197.3809722222,ACIS-I,NONE,20110,GO,Bogdan,60443,5864
28910,archived,Abell 2744,3.58854,-30.40122,60242.5409606481,ACIS-I,NONE,26090,GO,Bogdan,60443,5865
28920,archived,Abell 2744,3.58854,-30.40122,60212.0578935185,ACIS-I,NONE,15480,GO,Bogdan,60443,5866
28934,archived,Abell 2744,3.58854,-30.40122,60216.8851157407,ACIS-I,NONE,20090,GO,Bogdan,60443,5867
28951,archived,Abell 2744,3.58854,-30.40122,60222.5826736111,ACIS-I,NONE,13070,GO,Bogdan,60443,5868
28952,archived,Abell 2744,3.58854,-30.40122,60225.1867824074,ACIS-I,NONE,13970,GO,Bogdan,60443,5869
29207,archived,Abell 2744,3.58854,-30.40122,60459.4266898148,ACIS-I,NONE,19910,GO,Bogdan,,5870
29427,archived,Abell 2744,3.58854,-30.40122,60459.8610185185,ACIS-I,NONE,18910,GO,Bogdan,,5871
7915,archived,Abell 2744,3.58083,-30.39153,54047.5566782407,ACIS-I,NONE,18860,GO,Kempner,54632,5876
8477,archived,Abell 2744,3.58083,-30.39153,54261.4890509259,ACIS-I,NONE,46500,GO,Kempner,54632,5877
8557,archived,Abell 2744,3.58083,-30.39153,54265.4016319444,ACIS-I,NONE,28170,GO,Kempner,54632,5878
7712,archived,A2744,3.58000,-30.38533,54353.9659143519,ACIS-I,NONE,8170,GTO,Garmire,54723,5879
2212,archived,A2744,3.55417,-30.37778,52155.1756134259,ACIS-S,NONE,25140,GO,David,52550,5883
