r,aN,aBL,aTot,v
0.38858914728682176,0.5186238283622958,1.2939346788506134e-09,0.5186238296562304,0.4489227012846872
0.4010920230057515,0.5094090767934019,1.3664509675293082e-09,0.5094090781598528,0.45201760772853783
0.4135948987246812,0.5004377484871271,1.4444232024981215e-09,0.5004377499315503,0.4549488987797936
0.42609777444361097,0.491701344419825,1.5282289801997042e-09,0.491701345948054,0.45772573578442566
0.4386006501625407,0.48319173328081616,1.618277618009505e-09,0.4831917348990938,0.4603566107702903
0.4511035258814704,0.474901132545221,1.7150122751507106e-09,0.4749011342602333,0.4628494097542966
0.4636064016004001,0.4668220906737204,1.818912298283807e-09,0.4668220924926327,0.4652114685689494
0.4761092773193299,0.4589474703632122,1.9304957999462992e-09,0.458947472293708,0.46744962227098924
0.4886121530382596,0.4512704327780468,2.050322480654805e-09,0.45127043482836926,0.4695702490192507
0.5011150287571894,0.4437844226967789,2.1789967079013523e-09,0.44378442487577563,0.47157930916614343
0.5136179044761191,0.4364831545141907,2.3171708675648627e-09,0.4364831568313615,0.47348238019048305
0.5261207801950488,0.4293605990427587,2.4655490054820602e-09,0.4293606015083077,0.475284688003481
0.5386236559139785,0.42241097106181047,2.6248907791325566e-09,0.4224109736867013,0.4769911350804273
0.5511265316329083,0.41562871756635217,2.796015741632581e-09,0.4156287203623679,0.4786063258047638
0.563629407351838,0.4090085066709888,2.979807982536233e-09,0.40900850965079677,0.48013458935629405
0.5761322830707677,0.4025452171275319,3.1772211523428777e-09,0.40254522030475304,0.4815800004292148
0.5886351587896975,0.39623392841780986,3.389283900131496e-09,0.39623393180709376,0.4829463980268771
0.6011380345086272,0.3900699113858886,3.6171057564139225e-09,0.39006991500299437,0.48423740254739445
0.613640910227557,0.38404861937639606,3.861883496140855e-09,0.38404862323827954,0.4854564313463959
0.6261437859464867,0.3781656798479441,4.124908019832847e-09,0.3781656839728521,0.4866067129395198
0.6386466616654164,0.3724168864327559,4.407571794066002e-09,0.3724168908403277,0.4876912999869785
0.6511495373843461,0.36679819141557446,4.711376896041991e-09,0.36679819612695136,0.4887130811851439
0.6636524131032758,0.3613056986067391,5.037943710740144e-09,0.36130570364468284,0.48967479217514437
0.6761552888222057,0.3559356565859945,5.389020333211156e-09,0.35593566197501486,0.49057902556554445
0.6886581645411354,0.35068445229515804,5.766492732954734e-09,0.3506844580616508,0.4914282401549988
0.7011610402600651,0.3455486049592068,6.172395742056179e-09,0.34554861113160257,0.4922247694310549
0.7136639159789948,0.3405247603166877,6.6089249338701574e-09,0.3405247669256126,0.49297082941282355
0.7261667916979245,0.3356096851415917,7.078449464569025e-09,0.3356096922200411,0.49366852589784893
0.7386696674168542,0.330800262039984,7.583525955849832e-09,0.33080026962351,0.4943198611670422
