r,aN,aChi,aTot,v,chi
95.26243142892862,0.0001079161258497782,0.0010497317620389109,0.0011576478878886892,0.3320848574368309,0.2353199656338061
95.28743442930366,0.00010786008787086231,0.0010494563170781231,0.0011573164049489854,0.3320808802845082,0.23534620863397082
95.31243742967871,0.0001078040935291682,0.0010491810166304888,0.001156985110159657,0.332076905127656,0.23537244474899172
95.33744043005376,0.00010774814277940017,0.001048905860582309,0.0011566540033617091,0.3320729319647721,0.23539867398248063
95.36244343042881,0.0001076922355763212,0.0010486308488200037,0.001156323084396325,0.33206896079435594,0.23542489633804656
95.38744643080385,0.0001076363718747529,0.0010483559812301125,0.0011559923531048654,0.3320649916149085,0.23545111181929565
95.4124494311789,0.00010758055162957548,0.0010480812576992929,0.0011556618093288683,0.3320610244249321,0.23547732042983127
95.43745243155395,0.00010752477479572768,0.001047806678114322,0.0011553314529100496,0.33205705922293083,0.23550352217325388
95.46245543192899,0.00010746904132820656,0.0010475322423620953,0.0011550012836903018,0.33205309600740995,0.23552971705316111
95.48745843230404,0.0001074133511820675,0.0010472579503296266,0.0011546713015116942,0.33204913477687653,0.2355559050731479
95.51246143267909,0.0001073577043124241,0.0010469838019040486,0.0011543415062164727,0.3320451755298389,0.23558208623680615
95.53746443305413,0.00010730210067444814,0.0010467097969726112,0.0011540118976470595,0.33204121826480704,0.23560826054772513
95.56246743342918,0.00010724654022336932,0.0010464359354226832,0.0011536824756460526,0.3320372629802924,0.2356344280094912
95.58747043380423,0.00010719102291447531,0.0010461622171417505,0.001153353240056226,0.33203330967480776,0.2356605886256879
95.61247343417928,0.00010713554870311167,0.0010458886420174173,0.001153024190720529,0.33202935834686764,0.23568674239989598
95.63747643455432,0.00010708011754468175,0.0010456152099374053,0.001152695327482087,0.3320254089949879,0.2357128893356934
95.66247943492937,0.00010702472939464644,0.0010453419207895529,0.0011523666501841994,0.3320214616176858,0.23573902943665528
95.68748243530442,0.00010696938420852431,0.0010450687744618162,0.0011520381586703405,0.3320175162134803,0.23576516270635398
95.71248543567945,0.00010691408194189146,0.001044795770842269,0.0011517098527841605,0.3320135727808917,0.23579128914835898
95.7374884360545,0.00010685882255038125,0.0010445229098191007,0.0011513817323694818,0.33200963131844186,0.23581740876623708
95.76249143642956,0.0001068036059896845,0.0010442501912806186,0.0011510537972703031,0.332005691824654,0.23584352156355218
95.78749443680461,0.00010674843221554913,0.0010439776151152458,0.001150726047330795,0.3320017542980529,0.23586962754386542
95.81249743717964,0.00010669330118378035,0.001043705181211523,0.0011503984823953033,0.33199781873716483,0.2358957267107352
95.8375004375547,0.00010663821285024025,0.0010434328894581056,0.001150071102308346,0.3319938851405175,0.23592181906771706
95.86250343792975,0.00010658316717084794,0.0010431607397437665,0.0011497439069146143,0.33198995350664,0.23594790461836382
95.88750643830478,0.00010652816410157949,0.0010428887319573943,0.0011494168960589739,0.33198602383406317,0.23597398336622546
95.91250943867983,0.00010647320359846758,0.001042616865987993,0.0011490900695864607,0.331982096121319,0.23600005531484927
95.93751243905488,0.00010641828561760175,0.0010423451417246826,0.0011487634273422843,0.33197817036694105,0.23602612046777968
95.96251543942994,0.00010636341011512805,0.0010420735590566989,0.0011484369691718269,0.3319742465694644,0.2360521788285584
95.98751843980497,0.00010630857704724914,0.0010418021178733928,0.001148110694920642,0.33197032472742566,0.2360782304007243
96.01252144018002,0.00010625378637022393,0.0010415308180642304,0.0011477846044344543,0.3319664048393626,0.2361042751878136
96.03752444055507,0.00010619903804036788,0.0010412596595187932,0.0011474586975591611,0.3319624869038148,0.23613031319335967
96.06252744093011,0.00010614433201405264,0.0010409886421267776,0.0011471329741408302,0.3319585709193231,0.23615634442089314
96.08753044130516,0.00010608966824770593,0.0010407177657779946,0.0011468074340257005,0.3319546568844299,0.23618236887394195
96.11253344168021,0.00010603504669781171,0.00104044703036237,0.0011464820770601817,0.33195074479767883,0.23620838655603116
96.13753644205526,0.00010598046732090982,0.001040176435769944,0.001146156903090854,0.33194683465761526,0.23623439747068317
96.1625394424303,0.00010592593007359611,0.0010399059818908716,0.0011458319119644676,0.33194292646278584,0.23626040162141762
96.18754244280535,0.00010587143491252214,0.0010396356686154214,0.0011455071035279436,0.33193902021173877,0.23628639901175139
96.2125454431804,0.00010581698179439529,0.001039365495833976,0.0011451824776283713,0.33193511590302344,0.23631238964519863
96.23754844355544,0.00010576257067597861,0.001039095463437033,0.0011448580341130116,0.33193121353519106,0.2363383735252707
96.26255144393049,0.00010570820151409064,0.0010388255713152023,0.001144533772829293,0.331927313106794,0.2363643506554763
96.28755444430554,0.00010565387426560543,0.0010385558193592088,0.0011442096936248143,0.33192341461638625,0.2363903210393214
96.31255744468059,0.00010559958888745248,0.0010382862074598896,0.001143885796347342,0.33191951806252307,0.23641628468030915
96.33756044505563,0.00010554534533661656,0.0010380167355081961,0.0011435620808448127,0.3319156234437613,0.23644224158194
96.36256344543068,0.00010549114357013757,0.0010377474033951921,0.0011432385469653298,0.33191173075865904,0.23646819174771175
96.38756644580573,0.00010543698354511075,0.0010374782110120556,0.0011429151945571664,0.3319078400057761,0.23649413518111942
96.41256944618077,0.00010538286521868626,0.0010372091582500761,0.0011425920234687623,0.3319039511836734,0.2365200718856553
96.43757244655582,0.00010532878854806921,0.0010369402450006566,0.0011422690335487259,0.33190006429091357,0.23654600186480898
96.46257544693087,0.0001052747534905197,0.0010366714711553125,0.0011419462246458323,0.33189617932606047,0.23657192512206737
96.48757844730592,0.00010522076000335251,0.001036402836605672,0.0011416235966090244,0.3318922962876794,0.2365978416609146
96.51258144768096,0.00010516680804393732,0.0010361343412434753,0.0011413011492874127,0.3318884151743373,0.2366237514848321
96.53758444805601,0.00010511289756969819,0.0010358659849605742,0.0011409788825302723,0.33188453598460227,0.2366496545972987
96.56258744843106,0.0001050590285381139,0.0010355977676489339,0.0011406567961870478,0.331880658717044,0.23667555100179039
96.5875904488061,0.00010500520090671775,0.0010353296892006301,0.0011403348901073479,0.3318767833702334,0.23670144070178054
96.61259344918115,0.0001049514146330972,0.0010350617495078506,0.0011400131641409478,0.331872909942743,0.2367273237007398
96.6375964495562,0.00010489766967489423,0.0010347939484628957,0.0011396916181377898,0.33186903843314675,0.23675320000213612
96.66259944993124,0.0001048439659898049,0.0010345262859581758,0.0011393702519479807,0.3318651688400199,0.23677906960943476
96.68760245030629,0.00010479030353557946,0.0010342587618862131,0.0011390490654217926,0.331861301161939,0.23680493252609833
96.71260545068134,0.00010473668227002216,0.001033991376139641,0.0011387280584096633,0.33185743539748236,0.23683078875558672
