r,aN,aExtra,aTot,v
26.771994665777633,0.001296539802314919,0.0037338603685369994,0.0050304001708519185,0.3669793543794725
26.805333388898152,0.0012934325518170584,0.003729236791584011,0.005022669343401069,0.36692550504436705
26.83867211201867,0.0012903364580714378,0.0037246244025627867,0.005014960860634224,0.36687176259991566
26.872010835139193,0.0012872514677300106,0.00372002316421524,0.00500727463194525,0.36681812682056814
26.90534955825971,0.001284177527763217,0.003715433039403751,0.004999610567166968,0.36676459748017715
26.938688281380234,0.001281114585457703,0.0037108539911113597,0.004991968576569063,0.3667111743520224
26.972027004500752,0.0012780625884140629,0.0037062859824419517,0.004984348570856015,0.36665785720883326
27.00536572762127,0.0012750214845445966,0.003701728976620411,0.0049767504611650075,0.3666046458228112
27.038704450741793,0.0012719912220710873,0.0036971829369927688,0.004969174159063856,0.36655153996565204
27.072043173862312,0.001268971749522599,0.0036926478270263457,0.0049616195765489444,0.3664985394085677
27.105381896982834,0.0012659630157332887,0.003688123610309863,0.004954086626043152,0.36644564392230783
27.138720620103353,0.001262964969840241,0.0036836102505535544,0.004946575220393795,0.3663928532771803
27.17205934322387,0.0012599775612813161,0.0036791077115892554,0.004939085272870572,0.3663401672430724
27.205398066344394,0.00125700073979302,0.0036746159573704897,0.00493161669716351,0.3662875855894708
27.238736789464912,0.0012540344554083894,0.0036701349519725327,0.004924169407380922,0.36623510808548154
27.272075512585435,0.0012510786584548946,0.003665664659592469,0.004916743318047364,0.36618273449984995
27.305414235705953,0.0012481332995523612,0.0036612050445492344,0.004909338344101595,0.3661304646009791
27.338752958826472,0.0012451983296109064,0.003656756071283651,0.004901954400894557,0.36607829815694964
27.372091681946994,0.001242273699828893,0.003652317704358445,0.004894591404187338,0.36602623493553776
27.405430405067513,0.001239359361690904,0.0036478899084582566,0.004887249270149161,0.3659742747042336
27.438769128188035,0.0012364552669657258,0.003643472648389637,0.004879927915355363,0.365922417230259
27.472107851308554,0.0012335613677043578,0.0036390658890810405,0.0048726272567853985,0.36587066228058546
27.505446574429072,0.0012306776162380284,0.003634669595582796,0.004865347211820824,0.3658190096219511
