galaxy,delta_external,in_twompp_grid,ra_deg,dec_deg,l_deg,b_deg,distance_input,distance_units,distance_mpch,x_mpch,y_mpch,z_mpch,vx_kms,vy_kms,vz_kms,in_twompp_velocity_grid
NGC2403,0.2900706443538613,True,114.21415,65.60255,5.294754097419539,29.185806616826213,3.16,mpc,2.2119999999999997,1.9229308889285404,0.1782073312853492,1.0786672070108771,-4.6519963678158565,-634.6784132595519,448.14254325770844,True
NGC2683,1.3851050486527587,True,133.17227,33.4218,325.40909851786034,38.760807202579315,9.81,mpc,6.867,4.408094814898617,-3.0399079051669804,4.29922656194893,-72.43412508664669,-643.4358409695121,582.967812590209,True
NGC2841,1.2857422655949846,True,140.51106,50.97648,348.92177432489257,44.15131220894471,14.1,mpc,9.87,6.949789284990934,-1.3607518377172532,6.875004242207732,-213.41862196195626,-785.9810023798611,487.873433946435,True
NGC2903,1.3385228670996168,True,143.04213,21.50083,307.15233876307,44.54009467653103,6.6,mpc,4.619999999999999,1.9887322285807645,-2.6245886001830554,3.2405059485816916,43.2314551343745,-588.3010436116555,581.9927978876142,True
NGC2915,0.270692458115654,True,141.54805,-76.62632,223.89774380082736,-18.357260958048748,4.06,mpc,2.8419999999999996,-1.943669510061559,-1.8702875514580304,-0.8950627411071138,168.07134791719284,-492.052556151643,349.76057463002303,True
NGC2955,0.34042966839256844,True,145.31917,35.88212,327.4181580225892,48.94228576277642,97.9,mpc,68.53,37.927982830163316,-24.23902423278286,51.67493321405845,-121.2006858309549,-465.80323336412437,92.53301812837803,True
NGC2976,0.38735286869132746,True,146.81441,67.91638,11.949417354149665,40.902507452087306,3.58,mpc,2.506,1.8530533645826328,0.39216912197882065,1.6408633726716386,-7.821547520946581,-648.9097501638563,466.0149806715812,True
NGC2998,-0.6979046260571733,True,147.18179,44.08129,340.1455405575887,49.81022703296501,68.1,mpc,47.669999999999995,28.933897317657838,-10.447920866217826,36.41564822414235,-31.825234284542873,-627.3768230812598,12.772595877440345,True
NGC3109,0.4168777235871275,True,150.77865,-26.15957,253.7622069421682,23.070173786776014,1.33,mpc,0.9309999999999999,-0.23951061617824804,-0.8223758382893936,0.36482001772892453,96.33493390666271,-558.6235224883876,426.0319281618053,True
NGC3198,2.880767938623012,True,154.97912000000002,45.54969,344.6453536910013,54.828911482365115,13.8,mpc,9.66,5.365734501749908,-1.473400904839863,7.896428498400257,-215.92126141875374,-788.5590323576637,497.44359834301133,True
NGC3521,2.2813050078904697,True,166.45247,-0.0359,260.33198351442144,52.829254174841324,7.7,mpc,5.39,-0.5469099762699647,-3.2103444852535143,4.294959576510439,226.46187216024111,-496.52191621756987,600.1059820350329,True
NGC3726,3.530717887686115,True,173.33822,47.02909,0.4849991932638648,64.87882979346412,18.0,mpc,12.6,5.348936661547927,0.04527893592315964,11.408191197938006,-239.76502832124197,-909.2394519322424,226.5239567305153,True
NGC3741,0.7219757025555609,True,174.02397,45.28415,358.2914235340601,66.44536160323769,3.21,mpc,2.247,0.8975545889423564,-0.026773270021660047,2.059778617201583,38.464909156841884,-631.9334437033692,493.8508248433053,True
NGC3769,3.3378790937516967,True,174.43377,47.89309,3.142009816365642,64.74937946410931,18.0,mpc,12.6,5.366809748770613,0.2946027219692683,11.396076621219647,-238.2305132743927,-917.6022530197001,226.56301856201026,True
NGC3877,3.4053067490487092,True,176.53242,47.4945,5.144229217364113,65.9565975780688,18.0,mpc,12.6,5.112922356094252,0.46029477334091634,11.506787288473992,-232.6357010324458,-925.1106055333664,214.00610686356606,True
NGC3893,3.1360094951566704,True,177.1592,48.71079,7.708892480814056,65.22739302574212,18.0,mpc,12.6,5.23191194948765,0.7082091190753941,11.440521718718372,-233.05253581553853,-932.789379934583,219.7372855183485,True
NGC3917,2.4986988414144427,True,177.68953,51.82421,12.21380761360004,62.794120583415044,18.0,mpc,12.6,5.630192656953561,1.2187110498185165,11.206055239139081,-235.4612119152879,-945.7667457495482,238.94390260614213,True
NGC3949,3.293871274340197,True,178.42395,47.85878,8.230386397692222,66.40574807228481,18.0,mpc,12.6,4.991296341563436,0.721959062791051,11.546676402426343,-229.16163356608462,-935.3518030146836,208.50812143739472,True
NGC3953,2.3906719282631594,True,178.45428,52.32654,13.646182400513501,62.59049885262397,18.0,mpc,12.6,5.636634395001084,1.3684555489729633,11.18551215222512,-234.37869161587466,-950.506024698434,239.58934285130024,True
NGC3972,1.840520135628371,True,178.93799,55.32067,17.0158579133356,60.05345128108334,18.0,mpc,12.6,6.014473203269328,1.8406293839479864,10.917792613807173,-233.77315711370176,-952.494255412458,256.7675351272252,True
NGC3992,1.3257387294890477,True,179.39993,53.37452,15.772188635613643,61.92334423359756,23.7,mpc,16.59,7.514148365309406,2.1223507819537035,14.637667215183521,-168.70027384879535,-921.5359085186847,40.842022228615946,True
NGC4010,3.392255093109517,True,179.6583,47.26131,9.190813222457647,67.35896299267007,18.0,mpc,12.6,4.788180702728886,0.7747281967832519,11.628977675579382,-225.794592848974,-939.0169703123179,199.29745658855862,True
NGC4013,4.181520333559054,True,179.6309,43.94702000000001,3.9992417967746148,70.0888230519363,18.0,mpc,12.6,4.280644494980652,0.299274899283687,11.846793542653243,-206.2478927838923,-920.7070512560202,175.2047358183771,True
NGC4051,4.012092936288401,True,180.79036,44.53126,6.981221475356506,70.08532442891381,18.0,mpc,12.6,4.259997453546623,0.5216447228146044,11.84653149571367,-205.0824714169046,-929.4322247119162,174.9371832643978,True
NGC4068,0.8337337650969306,True,181.0136,52.59057,16.963465742952362,63.043843032967224,4.37,mpc,3.0589999999999997,1.3263382197861737,0.4045776860461258,2.726650843560283,8.098945490512545,-666.9632545038203,508.56797845969646,True
NGC4085,2.7090111837971214,True,181.3446,50.35275,15.276921756208612,65.1672158680679,18.0,mpc,12.6,5.1046527188651405,1.3942652137253413,11.434970272527085,-227.20576343445464,-957.9200945508878,216.15076915077088,True
NGC4088,2.6710860854729006,True,181.39245,50.53903,15.52870201541512,65.01106893035171,18.0,mpc,12.6,5.128483427170256,1.4250213848634432,11.420506634555311,-227.34266837795565,-958.7012099649511,217.35444182058097,True
NGC4100,2.8562305673150963,True,181.53584,49.58231,14.753727108252535,65.91674635877871,18.0,mpc,12.6,4.9720800439267405,1.3093852914971633,11.50321390721725,-225.9373243383277,-956.4913152272089,209.90011780625684,True
NGC4138,4.177870472985603,True,182.37412,43.68532,8.558933940986307,71.40376048868177,18.0,mpc,12.6,3.9733551136887293,0.5980007875511503,11.942145711663873,-191.8226718697397,-931.83670973177,162.9509780718966,True
NGC4157,2.6389240943365717,True,182.76819,50.48468,17.39240120639447,65.40822124327572,18.0,mpc,12.6,5.003761425236131,1.567355018627029,11.457127469174091,-225.0818344942723,-965.1168409307993,212.8346406171166,True
NGC4183,4.143637347790385,True,183.32025,43.69827,10.465828947144956,71.72721734037641,18.0,mpc,12.6,3.884896956682808,0.7176268255551415,11.964639040740021,-188.06513497965926,-936.6112348901693,159.95782336439123,True
NGC4214,0.743526685495501,True,183.91322,36.32689,355.60952148896143,78.07453943177228,2.87,mpc,2.009,0.41391949571157993,-0.0317801773512704,1.965640270089467,60.88422509936946,-619.0705310246783,489.6240273129234,True
NGC4217,3.3161878898843775,True,183.96208,47.09179,15.96608387487413,68.84680256959311,18.0,mpc,12.6,4.371475191285644,1.2507003616609111,11.750997968569111,-209.42326265327125,-958.0588500255916,183.97676376599279,True
NGC4389,3.548792412209198,True,186.39624,45.684670000000004,19.13612962373868,70.74479423512986,18.0,mpc,12.6,3.925577423746552,1.3621258875387694,11.895144175530959,-191.4593648681607,-963.2668363040648,167.05696991087828,True
NGC4559,3.5937109796944338,True,188.99037,27.95976,317.4464428876538,86.47028569700429,9.0,mpc,6.3,0.28572041805393117,-0.26230627830855263,6.288048923081547,90.2384827198775,-712.8799584030465,583.470514417302,True
NGC5005,4.821126978794236,True,197.73463,37.05894,54.25134778039999,79.24916405549621,16.9,mpc,11.829999999999998,1.2892501874324533,1.7909703329149005,11.62235600989851,-42.521613785040046,-950.5546273519819,169.26198605980935,True
NGC5033,4.973444450120633,True,198.36473,36.59365,57.80532446947665,79.44800756322387,15.7,mpc,10.989999999999998,1.072294332125811,1.7031254798900246,10.804149594717773,-27.11768132793799,-939.8570377028647,246.36109865263808,True
NGC5055,2.817457892901396,True,198.95554,42.02929,49.86679717539984,74.28759525992285,9.9,mpc,6.93,1.2096620059581895,1.4348313978858407,6.67104764568371,-28.733956216042596,-824.5374848685404,515.9564520169579,True
NGC5371,1.5091209374738406,True,208.91676,40.46177,73.69133837595524,71.19587075011577,39.7,mpc,27.79,2.515416542922172,8.597228915182619,26.3067374373095,-7.648815803658739,-521.9796058208855,1.6198524860217693,True
NGC5585,0.9256980648551538,True,214.95085,56.72905000000001,54.86742044260627,56.47485867445001,7.06,mpc,4.941999999999999,1.5707352479243144,2.232231020487179,4.11986643619704,-45.85777508147495,-751.9930636228753,485.96804655820745,True
NGC5907,0.1051562609878134,True,228.9737,56.32885,64.27956690884177,51.087019119374744,17.3,mpc,12.11,3.3011880906202284,6.8531066818189394,9.422801388013852,-153.33538435343027,-875.553948359694,249.12471096985013,True
NGC5985,-0.7060647065442008,True,234.90453999999997,59.33195,62.88462356627642,46.829440754748255,39.7,mpc,27.79,8.665886701886205,16.92342650484012,20.267810513357052,-81.5923024226044,-563.4378726902751,127.0444016281607,True
NGC6015,-0.34025797773872296,True,237.85513,62.31003,60.17144740082021,44.124491842730414,17.0,mpc,11.899999999999999,4.248925617681944,7.4104767645994905,8.285014497074652,-147.54169394355802,-822.8452965499323,258.86004908096965,True
NGC6195,0.3361172040533127,True,249.13555,39.028,93.55238672654042,42.14273331965652,127.8,mpc,89.46,-4.110030892742458,66.20495415097834,60.02585519530362,300.32930575988155,-112.13503592692146,58.719392858144595,True
NGC6503,0.06746355562828371,True,267.36047,70.14434,55.29123957186462,30.640753031579234,6.26,mpc,4.382,2.1467624690219522,3.099306129965275,2.2333016845823663,-59.43918994167791,-702.2770618934901,407.109370112037,True
NGC6674,-0.31744928779493753,True,279.6412,25.37511,101.2713634635989,13.919124214265969,51.2,mpc,35.839999999999996,-6.799445965089431,34.116636061872605,8.621384946141939,-18.096787604496296,-372.06133436747257,-88.44707965786773,True
NGC6789,0.15062240245063974,True,289.17154,63.97331,60.888809470129,21.51885893552588,3.52,mpc,2.464,1.1151941849176632,2.0026879350917337,0.9038135673709685,-7.255058030593225,-642.9915962087957,401.33139408314435,True
NGC6946,-0.11292827702401129,True,308.71805,60.15368000000001,60.14507767769768,11.672735879031,5.52,mpc,3.8639999999999994,1.8837406957655196,3.2818978307279254,0.7817695439067522,-45.9125747098019,-658.2722410852468,362.9721680944368,True
NGC7331,-0.6618372839066521,True,339.26709,34.41592,62.14170031238607,-20.72393690061292,14.7,mpc,10.29,4.4972579100733645,8.508811396479338,-3.6412772360019328,-80.73074379061339,-550.7020104626558,168.79543918605924,True
NGC7793,0.09981358370573967,True,359.45761,-32.59103,151.34826561962447,-77.17139771269073,3.61,mpc,2.5269999999999997,-0.4923787138285758,0.26903061860964095,-2.463922630363833,54.248466821491164,-543.7015236602376,294.1512114373915,True
NGC7814,-0.6048932547267283,True,0.81228,16.14523,49.45484426380338,-45.17490801743038,14.4,mpc,10.08,4.619133853566948,5.399687805786489,-7.149361792696776,-57.167873563938436,-548.2610173430294,147.90144022136303,True
PGC51017,2.4895890748077223,True,214.25733,43.50372,73.90342122368541,66.19688617099362,13.6,mpc,9.52,1.065284752892065,3.691592914676214,8.710207239071185,-69.84779463394486,-921.2542690664877,357.51319113947034,True
UGC00128,-0.5261506318471949,True,3.4622100000000002,35.9935,41.40289069394288,-26.2592000670036,64.5,mpc,45.15,30.371094224584052,26.778444717831785,-19.97583625522256,123.90536326486766,-193.12944633069995,76.43000040138023,True
UGC00191,-0.4786621889199005,True,5.0215,10.87931,45.283316415415776,-51.239007258079816,17.1,mpc,11.97,5.27285748947191,5.3252635508169295,-9.333779620821389,-47.25046861826328,-536.7926105551074,123.0673060800453,True
UGC00634,0.16097517832136654,True,15.354879999999998,7.625990000000001,28.59956775511668,-55.16177379571842,30.9,mpc,21.63,10.848737382017513,5.914817463791688,-17.753217499541897,35.88060147385204,-473.2648913861886,151.51086531536149,True
UGC00731,-0.7803554915432293,True,17.68333,49.60219,29.723565357251093,-13.14932132752114,12.5,mpc,8.75,7.399506831966478,4.224638636992013,-1.9905343580344648,-61.62572888877128,-625.2093892269224,237.76442541963175,True
UGC00891,-0.4422434211244362,True,20.32954,12.41172,21.586976274151727,-49.80069063356057,10.2,mpc,7.139999999999999,4.285262454422526,1.6955287682388427,-5.453559194947011,-37.30772425794022,-573.1713085272472,213.81206804764182,True
UGC01230,-0.8189525558883827,True,26.38438,25.52147,17.85677781510267,-35.761579895165504,53.7,mpc,37.589999999999996,29.033192954263086,9.353285083376797,-21.968110183391044,161.742471395146,-510.0236353748372,90.46405861974854,True
UGC01281,-0.2489667803307692,True,27.38212,32.58783,18.99271411915439,-28.706681170094367,5.27,mpc,3.6889999999999996,3.059440215535315,1.0530145941398439,-1.771921790625569,-34.38389577865169,-607.9574793699645,323.4129038373062,True
UGC02023,-0.6067490425546382,True,38.3255,33.49042,9.676546454245502,-24.740240882195575,10.4,mpc,7.279999999999999,6.517730990467788,1.1113504211743277,-3.046716753695921,-43.230067620914475,-617.4321893420231,265.48839216689464,True
