r_kpc,g_bar_total,g_bar_gas,g_bar_galaxies,g_resp_ground,g_resp_higher,g_resp_total,m_eff_bary_msun,m_eff_ground_msun,m_eff_full_msun,m_obs_analog_msun,closure_ground,closure_full,higher_mode_fraction,mean_activation,baryon_fraction_full,gas_mass_enclosed_msun,shell_directions,mode_1,mode_2,mode_3,mode_4,mode_5
562.3535392821701,377.46773316946104,333.45930934228835,44.00842382717266,1981.834897935177,207.99148369318974,2189.8263816283666,27754879984552.16,173477507133436.7,188770943261715.72,243310896975740.53,0.7129870025950107,0.775842535653211,0.0949808100944177,0.9998339802095014,0.14702940773078754,24518978172822.668,48,1981.834897935177,157.7746910394094,34.96229311707449,10.947135738188804,4.307363798517041
609.5912365818724,354.64654823295655,316.9135954464296,37.7329527865269,1942.2077982784822,187.41651524645198,2129.624313524934,30641768160490.72,198450199881795.12,214643148715619.97,265347528583996.38,0.747887877233329,0.8089133140264926,0.08800449640633654,0.9998565405355447,0.1427567958439144,27381608440746.24,48,1942.2077982784822,146.33013482948613,29.711604956009577,8.392360949163077,2.982414511793193
656.8289338815746,333.5049696837016,301.69435816891183,31.810611514789723,1903.2369339027402,168.33291694324788,2071.569850845988,33453958677979.406,224368084490174.44,241253597329470.38,286884474610753.44,0.7820851400013834,0.8409433715672648,0.08125862464859876,0.9998693103358713,0.1386671910731871,30263029067106.387,48,1903.2369339027402,135.4758236787712,24.969042908624974,6.10965036851809,1.778399987333619
704.0666311812769,319.2863199132839,287.6988185532395,31.587501360044385,1880.9293038346914,154.5805923691417,2035.509896203833,36800056857310.18,253590758521248.53,271407289432331.94,307916690105893.06,0.8235693831147582,0.8814309134688169,0.07594195078954419,0.9998725493795962,0.13558978807931124,33159368943259.55,48,1880.9293038346914,127.71548511225416,21.412938821473176,4.483058499035391,0.9691099363789778
751.3043284809793,304.0001471616537,274.818462560377,29.18168460127669,1853.5852421678476,145.16431630614971,1998.7495584739972,39897550289673.055,283165558894492.4,302217196415611.25,328446432666030.5,0.862136198575856,0.9201415097204312,0.07262756641556413,0.999878552938424,0.13201614852784768,36067691193263.8,48,1853.5852421678476,121.1498856202429,19.317071436273903,3.878011418079398,0.8193478315535271
798.5420257806816,288.51149385669544,262.9477710804051,25.56372277629032,1821.6178039030885,139.95610867659357,1961.5739125796822,42775917050364.125,312856568034510.94,333607044264811.0,348480928281042.1,0.8977724249580713,0.9573179396370418,0.07134888355674354,0.9998892215593238,0.12822246348134486,38985732921615.87,48,1821.6178039030885,115.88046577348614,18.56872123227724,4.208537688132852,1.2983839826973476
845.7797230803839,276.24714233274125,251.98828769246407,24.258854640277175,1795.3509934442407,135.03648415025177,1930.3874775944923,45946558500443.39,344556704301535.75,367016526569055.94,368030729248240.25,0.9362172148106931,0.9972442445736638,0.06995304606851488,0.9999108098611594,0.1251893448231365,41911726232239.55,48,1795.3509934442407,111.40257986394226,17.7940117959775,4.315823775907483,1.52406871442453
893.017420380086,264.29894132845754,241.85020954449644,22.44873178396111,1764.491789532324,126.55708467086559,1891.0488742031896,49006754312687.43,376181790208505.3,399648217746281.1,387108552069224.06,0.9717733906876725,1.0323931507326003,0.06692428016922172,0.9999354075796203,0.12262472879035742,44844272701378.97,48,1764.491789532324,105.63740680328931,16.078995895215762,3.661614254123441,1.1790677182370832
940.2551176797883,252.78975226513782,232.45268308858624,20.337069176551577,1729.3581356191874,116.61667553343119,1845.9748111526185,51962678715673.5,407444182140165.06,431415544860905.0,405728451907070.1,1.0042287648919626,1.063311046669506,0.06317349230817308,0.9999546710588415,0.12044693181472417,47782253749193.1,48,1729.3581356191874,99.04244115152638,13.985661985321302,2.8193417663369438,0.7692306302465636
987.4928149794907,242.35926935120924,223.72344845985893,18.63582089135028,1693.6555631905828,107.19845905489646,1800.8540222454792,54950060937720.73,438952194027035.9,463257275789599.44,423905235291585.56,1.0354960436501808,1.0928321644127499,0.05952645674257986,0.9999675507716109,0.118616725110385,50724765588607.48,48,1693.6555631905828,92.53824462905511,12.050742722339287,2.1270141752665435,0.4824575282355183
1034.730512279193,232.74457771420214,215.59818348329665,17.14639423090549,1656.858103182882,98.81505539624715,1755.673158579129,57939499413306.836,470398212909855.3,494997260072995.25,441654042856286.7,1.0650829999600433,1.120780547760244,0.05628328650659468,0.9999759490524956,0.11705014166091088,53671071301087.68,48,1656.858103182882,86.41596461668796,10.443833846479967,1.6398509767962306,0.3154059562829968
1081.968209578895,223.79219046492548,208.019737011893,15.772453453032474,1618.9327443284385,91.35672481120201,1710.2894691396405,60913644342024.49,501568401761434.5,526434645001830.1,458990054252693.56,1.0927652943985138,1.146941290174461,0.05341594300826686,0.9999816757254946,0.11570979402735306,56620565043577.15,48,1618.9327443284385,80.70818432442712,9.12783871698178,1.3014569550965172,0.2192448146965987
1129.2059068785975,214.54477883090166,199.98865637993742,14.55612245096423,1580.8310517909058,84.63678568318835,1665.4678374740943,63606996324687.164,532282652050934.4,557375277213940.56,475928281340496.3,1.1184093757818105,1.1711329186911128,0.05081862512070567,0.9999858066587002,0.1141187973794405,59291481250000.01,48,1580.8310517909058,75.39398235449143,8.027323877595059,1.0554509843565876,0.1600284667452767
1176.4436041782997,197.74392879998175,184.2508156808593,13.493113119122476,1543.0993400724376,78.50554462040748,1621.6048846928452,63633533471317.2,560199289507190.94,585462190025061.0,492483425425257.4,1.1374987676457562,1.1887957234693063,0.048412252183908246,0.9999888994140728,0.10868939882965514,59291481250000.01,48,1543.0993400724376,70.43320593442431,7.085009602650392,0.8669847827694479,0.12034430056333299
1223.6813014780018,182.8596232664004,170.3001370646686,12.559486201731808,1505.997524143456,72.88049958944625,1578.8780237329024,63664176148987.9,587990377550638.8,613364360504377.6,508669781092984.9,1.1559373082615931,1.2058203245068624,0.04615967699463995,0.9999912512926804,0.10379503643908493,59291481250000.01,48,1505.997524143456,65.8034591785716,6.267507750593943,0.7175095935218566,0.09202306675884235
1270.9189987777042,169.61075624056397,157.87592250722767,11.734833733336297,1469.7173975437192,67.7238680002734,1537.4412655439926,63698585659731.16,615661925828165.1,641096130018052.6,524501173986063.5,1.173804666916768,1.2222968447256273,0.044049726983430924,0.9999930471359123,0.09935886784706915,59291481250000.01,48,1469.7173975437192,61.499541723157044,5.5560509495929855,0.5971312241365322,0.07114410338683357
1318.1566960774064,157.7691907383643,146.76333260250487,11.00585813585942,1434.4290911996552,63.013311298069965,1497.4424024977252,63737780061364.914,643238286469648.5,668695275617264.4,539990923287797.25,1.1912020345697993,1.238345399485302,0.04208062439861736,0.999994420802857,0.09531662983939786,59291481250000.01,48,1434.4290911996552,57.52018279310463,4.937852652714901,0.4997313117031084,0.05554454054732617
1365.394393377109,147.1462881841292,136.78403622311293,10.36225196101625,1400.23703958171,58.72514995763306,1458.962189539343,63783184264613.61,670740914642553.0,696196378772424.1,555151822145696.7,1.2082116781137404,1.2540648359606952,0.04025131725735477,0.9999954756115728,0.09161665617548888,59291481250000.01,48,1400.23703958171,53.85870804600422,4.401843345206923,0.4207870910171141,0.04381147540480288
1412.6320906768112,137.5767323647826,127.78901112207832,9.78772124270427,1367.0975558337393,54.827519217942076,1421.9250750516815,63832783240259.81,698138021123367.5,723576865975129.5,569996131048884.2,1.224811859404522,1.2694417147071368,0.03855865557188329,0.9999962913009458,0.08821838596820734,59291481250000.01,48,1367.0975558337393,50.49850435229016,3.9374433860931473,0.3566419112093697,0.0349295683493954
1459.8697879765134,128.91129472686177,119.65294802806677,9.258346698794975,1334.8327025063209,51.28146175728281,1386.1141642636037,63879258640732.06,725327300305160.1,750738741296495.6,584535580477627.5,1.2408608210170728,1.2843336939097232,0.03699656426534458,0.9999969279877169,0.08508853363610243,59291481250000.01,48,1334.8327025063209,47.414384436818295,3.534625277247048,0.3043010110565593,0.02815103216091282
1507.1074852762158,121.02630443148855,112.26986269184617,8.756441739642408,1303.303624975207,48.04901868733239,1351.3526436625393,63915895930614.305,752211050039560.9,777586492943596.6,598781380099178.9,1.2562365414819157,1.2986150184142358,0.03555623982582834,0.999997430009907,0.08219779601450786,59291481250000.01,48,1303.303624975207,44.58038766221881,3.184354214385609,0.2613495923859133,0.02292721834205905
1554.345182575918,113.82813509151704,105.54962681733882,8.278508274178241,1272.519227244873,45.09842091124735,1317.6176481561204,63941853145353.56,778767212338946.2,804100813778308.1,612744232489668.2,1.270949885851561,1.312294381802878,0.034227244128338954,0.9999978299366904,0.07951969709482527,59291481250000.01,48,1272.519227244873,41.97485617305528,2.878832565661224,0.22587357874498928,0.018858593785857015
1601.5828798756204,107.2429762617284,99.41520436649758,7.827771895230825,1242.5709090201597,42.40243099747272,1284.9733400176324,63959984357878.36,805032441266612.5,830321359178733.4,626434349884888.9,1.2851026470922964,1.325472269091422,0.03299868540221299,0.9999981518491016,0.07703039750915339,59291481250000.01,48,1242.5709090201597,39.578979405796964,2.6114261076323326,0.19637035111516857,0.015655132928256432
1648.8205771753226,101.2070887869699,93.8004339608102,7.406654826159699,1213.5432005614923,39.93601437063073,1253.479214932123,63973245685481.7,831056838840483.2,856300490146460.1,639861472852155.6,1.298807435828387,1.3382591802715307,0.03186013289641448,0.9999984136280324,0.0747088743047897,59291481250000.01,48,1213.5432005614923,37.37473183411588,2.376512172232442,0.17166445361276242,0.013105910669650361
1696.0582744750247,95.66342506795114,88.64823745043192,7.01518761751922,1185.4830696331755,37.67589717110111,1223.1589668042766,63983518870284.875,856881936446272.5,882081081008468.0,653034890066197.5,1.3121533772252372,1.3507411233709923,0.030802126455840968,0.999998628597202,0.072537003964685,59291481250000.01,48,1185.4830696331755,35.34465393998123,2.169350408624784,0.15083616694544036,0.011056655549658512
1743.2959717747271,90.56106179030645,83.90916355857607,6.6518982317303825,1158.4045520417517,35.600839197416626,1194.0053912391684,63991812924838.17,882537950967925.2,907694041199766.8,665963458589776.5,1.3252047684969985,1.3629787482962976,0.02981631361016653,0.9999988067472603,0.07049932027784983,59291481250000.01,48,1158.4045520417517,33.47231983009046,1.9859620615622327,0.1331637042579786,0.009393601505954502
