galaxy,q_est_kms2,huber_scale_kms2,outer_rule,n_total,n_outer,rmax_kpc,rmin_outer_kpc
UGC01230,8787.462385026949,638.2403968500001,lastfrac,11,5,36.54,13.27
UGC01281,2522.20608399855,133.58392792499987,rfrac,25,6,4.99,3.07
UGC02023,838.9451337112615,788.13184989,lastfrac,5,5,3.78,0.76
UGC02259,6145.554003193403,537.1845275999987,lastfrac,8,5,8.14,4.07
UGC02455,-998.4642934851988,1055.6320305299992,lastfrac,8,5,4.03,2.01
UGC02487,88679.73904957727,2499.242393339993,rfrac,17,7,80.38,50.24
UGC02885,64382.675080401954,2862.909221318995,rfrac,19,8,74.07,46.73
UGC02916,18873.29421101302,1336.4234681279986,rfrac,43,5,38.0,25.34
UGC02953,55195.06690150065,2515.567390895989,rfrac,115,18,62.39,38.35
UGC03205,32242.55949064766,1151.662115582999,rfrac,48,6,40.04,24.23
UGC03546,23924.010382555163,1904.9384101230019,rfrac,30,6,29.23,18.08
UGC03580,12898.222458543085,897.9427315949991,rfrac,47,6,27.06,16.6
UGC04278,5838.6276068108555,392.3260938449991,rfrac,25,10,6.69,4.29
UGC04305,27.24257714209368,91.95411372000049,rfrac,22,9,5.52,3.51
UGC04325,6444.404791684948,136.75761854999885,lastfrac,8,5,5.59,2.79
UGC04483,351.98490000000004,84.72740241000008,lastfrac,8,5,1.21,0.57
UGC04499,3759.1586315903114,141.50445897000097,lastfrac,9,5,8.18,4.55
UGC05005,7846.0770445778035,328.5952355700007,lastfrac,11,5,28.61,10.17
UGC05253,34080.3404871213,2696.5541698619986,rfrac,73,7,53.29,33.32
UGC05414,1731.4871555568175,679.4377737,lastfrac,6,5,4.11,1.37
UGC05716,4413.90234386631,141.1521932100004,rfrac,12,5,12.37,8.26
UGC05721,5378.964193186276,65.78614958999819,rfrac,23,6,6.74,4.49
UGC05750,3952.929143936005,735.2877604800017,lastfrac,11,5,22.85,6.6
UGC05764,2342.66087,244.81602999000006,lastfrac,10,5,3.62,2.17
UGC05829,2639.75654,684.4991477100011,rfrac,11,5,6.91,4.4
UGC05918,1393.5152599876767,154.28002317000093,lastfrac,8,5,4.46,2.23
UGC05986,10503.795025893727,361.916374050002,rfrac,15,7,9.41,5.65
UGC05999,6117.400690315992,1627.808290290001,lastfrac,5,5,16.22,3.48
UGC06399,5618.159779193651,358.85739959999904,lastfrac,9,5,7.85,4.37
UGC06446,5486.5813071428565,327.1970696400036,rfrac,17,7,10.22,6.4
UGC06614,28415.06677955119,4119.429178178994,lastfrac,13,6,64.59,24.94
UGC06628,218.63758999999965,471.4323295500014,lastfrac,7,5,7.69,3.3
UGC06667,6122.73247640637,269.98635258000235,lastfrac,9,5,7.85,4.37
UGC06786,40689.59512094007,1320.4545021360054,rfrac,45,7,34.05,21.27
UGC06787,51191.06649975288,1691.1421453499984,rfrac,71,11,37.19,22.77
UGC06818,3495.5943149282502,819.17156349,lastfrac,8,5,6.98,3.5
UGC06917,8397.34837,1090.569870179999,rfrac,11,5,10.47,6.98
UGC06923,3732.368034977763,471.38762915999627,lastfrac,6,5,5.16,1.94
UGC06930,8310.363206521846,309.1083859500012,rfrac,10,5,16.61,10.47
UGC06973,10499.587766571614,4227.248468477996,rfrac,9,5,7.85,5.32
UGC06983,9339.321172822592,317.28125551500005,rfrac,17,8,15.68,9.6
UGC07089,3691.9796416666663,781.0724870549998,rfrac,12,6,9.16,6.11
UGC07125,2436.674026613212,120.62481784500048,rfrac,13,6,18.68,11.47
UGC07151,3520.8933782753993,192.9502341899998,rfrac,11,5,5.5,3.49
UGC07232,644.2696104993522,495.9140215050001,lastfrac,4,4,0.82,0.21
UGC07261,3924.2167101239247,318.6025115699983,lastfrac,7,5,6.67,2.86
UGC07323,3888.4034261652237,543.5843187599988,rfrac,10,5,5.82,3.5
UGC07399,8965.617336978072,842.6861183999999,rfrac,10,5,6.13,3.68
UGC07524,4587.789852866153,175.31804303999849,rfrac,31,13,10.69,6.55
UGC07559,581.000741427295,52.42354992000031,lastfrac,7,5,2.53,1.08
UGC07577,65.91180044661377,55.27384842000004,lastfrac,9,5,1.69,0.94
UGC07603,3302.4454400000004,284.03724930000004,rfrac,12,5,4.11,2.74
UGC07608,3228.01739,862.8097447200004,lastfrac,8,5,4.78,2.38
UGC07690,2185.394605954613,39.16198944000017,lastfrac,7,5,4.13,1.77
UGC07866,541.2523302338772,136.21061328000013,lastfrac,7,5,2.32,1.0
UGC08286,5856.6901987128485,138.5788443899988,rfrac,17,7,8.04,5.2
UGC08490,5408.6791918758945,112.34749910999909,rfrac,30,13,10.15,6.09
UGC08550,2678.1243190452155,88.063548929999,rfrac,11,5,5.36,3.41
UGC08699,25150.491378724833,1529.9618645639996,rfrac,41,5,25.7,17.13
UGC08837,1025.400009028745,408.55756157999986,lastfrac,8,5,4.2,2.09
UGC09037,13389.766265633152,464.19546243000536,rfrac,22,10,27.96,17.0
UGC09133,40356.43991593451,1352.6501396520077,rfrac,68,13,108.31,66.46
UGC09992,586.8408099999999,42.56366687999966,lastfrac,5,5,3.89,0.78
UGC10310,3594.4961500000004,169.63382876999822,lastfrac,7,5,7.74,3.31
UGC11455,42069.20541875,8142.333119969999,rfrac,36,8,41.93,27.06
