galaxy,n,sigma_kpc,ups_disk,ups_bul,a0_kms2_per_kpc,r_t_kpc,r_near_half_rt_kpc,frac_gas_half_rt,frac_disk_half_rt,frac_bul_half_rt,r_near_rt_kpc,frac_gas_rt,frac_disk_rt,frac_bul_rt,frac_bul_peak,r_bul_peak_kpc,q_best_kms2,v_extra_asym_kms,chi2,chi2_red,gbar_inner_kms2_per_kpc,gbar_rt_kms2_per_kpc,gbar_half_rt_kms2_per_kpc,gbar_1kpc_kms2_per_kpc,gbar_2kpc_kms2_per_kpc,s_in_dlng_dlnr,vobs_outer_kms,outer_resid_mean_z,outer_resid_rms_z,outer_chi2,sparc_T,sparc_D_mpc,sparc_e_D_mpc,sparc_Inc_deg,sparc_e_Inc_deg,sparc_L36_1e9solLum,sparc_e_L36_1e9solLum,sparc_Reff_kpc,sparc_SBeff_solLum_pc2,sparc_Rdisk_kpc,sparc_SBdisk_solLum_pc2,sparc_MHI_1e9solMass,sparc_RHI_kpc,sparc_Vflat_kms,sparc_e_Vflat_kms,sparc_Q_flag,env_twompp_delta_external,env_twompp_in_twompp_grid
F568-3,18,2.0,0.5,0.7,3702.813097789641,4.19,2.03,0.005327039238958455,0.9946729607610415,0.0,4.19,0.026304823121756853,0.9736951768782431,0.0,0.0,0.64,11024.258653521169,104.99646971932518,40.61992888123828,2.3894075812493107,145.826875,252.94053699284015,221.2151947604609,178.18856315999972,218.75532155652076,0.2518194158428129,107.0,1.0257042988788785,1.434594228356779,12.348363600207492,7.0,82.4,8.24,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1.0,0.07358908298182039,True
F568-V1,15,2.0,0.5,0.7,3702.813097789641,1.18,0.39,0.0161558599248525,0.9838441400751474,0.0,1.18,0.017805300802788224,0.9821946991972118,0.0,0.0,0.39,12122.350551993222,110.10154654678209,3.08716392069,0.2205117086207143,195.54705128205129,362.5658050847457,246.3273384942265,330.5983504013316,308.53913411402146,-0.3432776059683186,112.0,0.06897600888283521,0.44006901916947605,2.323928899593416,7.0,80.6,8.06,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1.0,-0.024118705810812754,True
F571-8,13,2.0,0.5,0.7,3702.813097789641,1.5406677643272788,0.78,0.0019379820990086778,0.9980620179009912,0.0,1.33,0.0028046120286693674,0.9971953879713307,0.0,0.0,0.22,12491.708041346654,111.76630995674257,250.6469090663353,20.887242422194607,3335.9475,3702.81309778964,4699.988099021585,4407.220903987533,3120.499778143803,-0.7563669388495705,135.0,0.1678564809654379,3.393666589688059,103.65275629768482,5.0,53.3,10.7,85.0,5.0,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1.0,-0.07713127990408156,True
F571-V1,7,2.0,0.5,0.7,3702.813097789641,3.88,1.95,0.1784510945975413,0.8215489054024586,0.0,3.88,0.26493615173529345,0.7350638482647065,0.0,0.0,1.95,5662.629029281939,75.25044205373108,2.9889725772594034,0.49816209620990054,177.08651282051284,221.8099097938144,nan,nan,178.56002761743807,-0.5300898638370681,82.5,0.11149453697969315,0.2958313032369758,0.35006463989955017,7.0,80.1,8.0,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2.0,-0.4331528061255525,True
F574-1,14,2.0,0.5,0.7,3702.813097789641,1.41,0.47,0.0007402358450621235,0.9992597641549379,0.0,1.41,0.0014305728794121644,0.9985694271205878,0.0,0.0,0.47,7687.68013046643,87.67941680044656,6.165974294282659,0.47430571494481993,179.64372340425535,383.91602836879434,237.76085033596937,302.7499734518728,368.3864838792736,-0.45486846465640574,98.8,0.04657363204817919,0.44726617628475684,2.2005173569322594,7.0,96.8,9.68,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1.0,2.0560574208751916,True
F574-2,5,2.0,0.5,0.7,3702.813097789641,2.17,2.17,0.24225427164069982,0.7577457283593002,0.0,2.17,0.24225427164069982,0.7577457283593002,0.0,0.0,2.17,130.32848962155754,11.416150385377618,0.25712696514172223,0.06428174128543056,142.00260368663595,142.002603686636,nan,nan,nan,0.32662864738610126,30.0,0.010993795944048626,0.05231380024752078,0.008210201089012516,9.0,89.1,8.91,30.0,10.0,2.877,0.384,6.48,10.89,3.76,41.38,1.701,12.61,0.0,0.0,3.0,0.996523618330857,True
F579-V1,14,2.0,0.5,0.7,3702.813097789641,1.47,0.42,0.02382207465541451,0.9761779253445855,0.0,1.47,0.021836820256632826,0.9781631797433672,0.0,0.0,0.42,11145.905990184536,105.57417293156757,40.89687800176533,3.1459136924434867,288.8477380952381,576.0102040816328,393.1641167245833,465.84835290425207,569.9097050945953,-0.26927576079225046,114.0,0.4382980912639566,0.5880829281241524,3.4584153035107708,5.0,89.5,8.95,26.0,10.0,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1.0,-0.6792494350393644,True
F583-1,25,2.0,0.5,0.7,3702.813097789641,1.22,0.77,0.027075822445715936,0.9729241775542841,0.0,1.22,0.03800370646997512,0.9619962935300249,0.0,0.0,0.26,4900.525297280667,70.0037520228785,5.500888046968283,0.22920366862367847,50.19923076923076,127.35815573770498,97.7130736583947,124.26925967994369,92.70109826136783,0.33382053665280587,84.7,-0.07370433104387461,0.4713958103593762,3.555424160389967,9.0,35.4,8.85,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1.0,0.9335067181130736,True
F583-4,12,2.0,0.5,0.7,3702.813097789641,1.94,0.76,0.02200618166726294,0.977993818332737,0.0,1.94,0.043565741572706575,0.9564342584272935,0.0,0.0,0.22,3595.541437614467,59.96283380240186,15.780473289924428,1.4345884809022207,72.0225,280.61512886597944,237.95165685959626,241.82459099864124,276.8341409760685,-0.10341316334369716,64.4,0.11381178557600759,0.3904864683904012,1.2198374559680623,5.0,53.3,10.7,55.0,10.0,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0.0,0.0,1.0,-0.0668566397522635,True
IC2574,34,2.0,0.5,0.7,3702.813097789641,6.54,3.13,0.2541535457824673,0.7458464542175328,0.0,6.54,0.45317885442775746,0.5468211455722425,0.0,0.0,0.85,5138.163997073572,71.6809876959963,1634.8771539154532,49.541731936831916,54.098882352941175,104.27743883792046,83.52097107509073,58.88621780159885,83.86271305191387,0.45713791897114825,66.0,nan,nan,0.0,9.0,3.91,0.2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2.0,0.43684332741089704,True
